,YAL012W,YBR011C,YBR084W,YBR111C,YBR154C,YCR002C,YDL182W,YDR064W,YDR533C,YER012W,YER052C,YER089C,YFL018C,YGL048C,YGL062W,YGL255W,YGR061C,YGR086C,YGR204W,YGR240C,YGR254W,YHR027C,YHR042W,YJL001W,YJL172W,YJL217W,YJR109C,YKL067W,YKL112W,YLR061W,YLR314C,YLR359W,YML008C,YMR099C,YMR186W,YNR016C,YOL151W,YOR007C,YOR259C,YPL262W
WT,8.743337685246285,8.863657539183123,5.620283332009939,5.007850563401252,4.005594732561781,5.949497641022713,7.941930021622534,8.642632672582714,6.238045589153396,5.954519135711561,6.583490605202958,5.9763581649695965,6.665898665628457,5.703548841689107,6.011777681303093,5.162048615725939,7.248151288781308,8.111342986737082,8.052064908906933,7.735446186937205,9.96212862226222,6.153339333340838,6.4409699297630505,6.255180081240161,8.885141540553658,5.638003261227246,7.035200062159108,7.724322182775878,3.699614735697388,5.757820008311152,6.194167453087374,6.713285870558472,6.553235436668864,5.538449410778101,6.9972391956205975,7.8067765044415305,5.6975435715179055,6.6814345953927985,4.705099637193762,7.025441000880322
YAL017W,8.670526069215079,8.873436803369467,5.626474887243092,5.3451020923852814,3.593708455457444,5.885545491483064,7.9764724464095655,8.163425244279306,6.325006013929558,6.049043384805263,6.613203059839143,5.8699278502419645,6.171928995752651,5.952111805643892,6.41128826149748,5.445681416595202,7.198337115925138,8.000245024196808,8.026310890145245,7.712027099875628,9.666012711264164,6.065406816193546,6.431404013232068,6.177124833462592,8.946003516291649,5.365537160427887,7.337518392284338,7.6301948097158965,3.650061598779572,6.563941976067464,6.098398460542271,6.932673419272248,6.837955047309814,5.564979984029995,7.166543291161378,7.418510513866758,6.047332672475008,6.5762320207392335,4.80931985961397,6.845798453494072
YAR018C,8.556955645710502,8.765293092341452,5.65166609060874,4.7556562253248105,4.496410433882161,5.897823181760972,7.932454747687503,7.936425132107044,6.387775619801793,6.1816184639893255,6.577014855488351,6.1343697290974255,6.3136964500782415,5.980479991568204,6.1170295139017465,4.7329000467293065,7.541926779476272,8.183997386203103,8.075524958664031,7.720595768509575,9.666462915590236,6.023275555843169,6.515094736764059,6.48819197110902,8.762501005467945,5.771399270174687,7.600249202708973,7.7347445069656695,3.7832770462516967,6.458145241184044,6.216714299001132,7.014380031666727,6.7876591163693885,5.821290159381733,7.156408383382487,7.782765024480038,5.788244882375769,6.825333412679732,5.387013091511709,7.137919873847261
YBL016W,9.116122376787363,8.713768222112144,5.5037050687679585,5.981815952660867,4.238042963219353,5.2550614446244674,8.112071408888463,9.248350640028502,6.0106924280308505,6.350080077900456,6.353212037769402,6.434205824620188,6.147519549255903,5.245569988662737,5.3043100390030515,4.991371584163508,7.491775385166719,8.464305268400988,8.224409613359619,7.227090325292705,9.454310706238823,5.7646868222721634,6.347216176443462,6.893461888662503,8.834115892432896,5.72899629752214,6.724968994082718,7.557683915204032,4.5327140837972495,7.236338738742722,6.442019508207481,6.991738337592696,7.035505379542268,6.049943474208504,7.433619021932441,6.883828938413253,4.997925125657657,6.5652297089499445,5.128873876633309,6.8973134809930885
YBL088C,9.056300219574107,8.59021188031656,5.297984246245077,5.509175666233699,3.960262828087308,5.4067975680698765,7.719023539579093,9.093853714210349,5.888072679507212,7.136911503673936,6.707739483803391,5.768657311969143,6.0893053108753525,5.700631554976881,5.500480300215627,4.683169706549276,6.598353805704202,7.905685488289963,7.606354722615137,7.149454326034181,9.548443294739608,5.661084302188507,6.327523990196915,6.737012626605103,8.887681417599833,5.662404023583631,6.9198026056393775,7.208014897392541,3.7511932590881822,6.339947304153216,6.215115880326544,6.86268649638738,6.693765477992648,5.8458380278188935,7.391868481272291,6.169644799314603,4.904998669655121,6.3827064092401145,5.2901721902175805,6.6751331841676835
YBR028C,8.883538928020007,8.559959703839075,5.511654916696243,4.989526098925342,3.1046097410665623,5.8726465269124,7.950099480332898,9.422357259805592,5.628473870071791,5.9818950306319465,6.821089678810799,5.542223232781444,6.625942485857682,5.425361294782285,6.122566791749098,6.5221991751453565,7.33205057921517,7.327190913246777,8.226110138886018,7.670241974084715,9.469115724645873,5.716562314147472,6.096989006928591,6.077817065875408,9.178704962484627,5.93555049772316,7.095570535257101,7.043678975492576,3.618979669756466,6.1932688078547145,6.025288848435161,6.9552298182091645,6.5850529496990085,5.4854399930446585,7.320605226513141,7.476232844083911,5.375163401869035,6.332427215658402,4.7623304343643795,6.718094085279598
YBR059C,9.15928577958802,9.707875255050137,5.302138620946799,5.748734454327346,3.194526726614592,4.50128559426346,7.621061960936184,7.998103958931296,6.793766511337871,5.87228564087088,6.873870041625726,6.507985649312558,6.283405508563446,5.6528773059136,5.804604490930952,5.103566704451317,7.641250390261487,8.983706317918232,7.581965920380747,7.909783844801497,10.263481890591802,6.639791497848594,6.4516210663489195,6.521820475234767,9.624211480051137,4.829714858431259,7.043084304870411,7.775938828014402,4.556595861864494,6.246023700446358,6.232066980714791,6.3274235699545445,6.32738174266103,4.5544508193315245,7.127569596977731,7.826279862753108,5.695327984629968,8.039430013326905,5.066238980738318,7.71888303598941
YBR097W,8.592912892790537,8.720515395108869,5.466213369796168,4.9736741144331535,4.563653842088573,6.451921401251828,8.190729809783884,8.452227864523746,7.4361442073851025,6.035793959948281,6.8095457540505695,6.025493177801044,7.195917627313664,5.906916662759698,5.729937130603122,5.357868315922231,7.218141327547584,8.118915019602532,7.939674785279321,7.464172205744813,9.077147299015813,6.290683261259988,6.435841035009445,6.5193327139262225,7.716634269135543,7.197455281535423,7.361169689977268,7.630389074042255,3.824082268591355,5.969772878148216,6.0295651056353865,6.743652038593009,6.7930794121274625,5.826507899207902,7.142403243383358,7.674939685866412,5.66864346712542,5.89364122450668,4.857299546404214,6.791571665112191
YBR274W,8.695620114160013,8.578680248337603,5.178543994342939,5.225731193563785,3.642841389514819,6.061047336592134,8.179560651088718,8.745037507476917,6.259067829650662,5.844312818822671,6.783935046840396,6.067457227242644,6.794522378342153,5.554841249676441,6.10657134516776,5.374709629691537,7.229203162251425,7.6015699598809325,8.002979613711076,7.495697007824979,9.888646002116216,5.6399947862208935,5.9641320450588395,6.091295973220762,9.160435110594076,5.488411459359814,6.509237253501756,7.1699564939702976,2.734673210891976,6.576876517093284,6.4607084736075855,6.713370864028129,6.4833741297360215,4.995228504045803,7.221183595448295,7.165694787851918,5.847038228311584,6.164177190027655,4.666722147115385,6.939156292076096
YCL024W,8.751419147869125,8.726164637309282,5.262768670079113,5.2607261047297165,3.939989354326472,5.733283492234326,8.05787286607314,8.693680355331335,6.2764302569267985,6.243220894261228,6.614415052605892,5.913002903956448,6.293444396013721,6.036391973874553,5.518650165950977,4.486312818038543,6.843715186001911,8.03651770151917,7.700021858839032,7.0385138937028024,9.606177846437024,6.032140626062825,6.576548719006048,6.496939062553301,9.040759778251127,5.611805025919415,7.1003692834011,7.354210020308644,3.3245507513211896,6.517756708649235,6.235554522557586,6.928271964494567,7.099485113912122,5.484999918497748,7.275226262892042,6.277907375403668,5.739701107898853,6.284048255882207,5.167967081231293,6.931834042055402
