,YAR002C-A,YBL039C,YBR126C,YBR154C,YDL100C,YDR063W,YDR174W,YER012W,YER025W,YGL011C,YGL048C,YGR083C,YGR086C,YGR087C,YGR155W,YHR018C,YHR128W,YHR179W,YIL109C,YIL155C,YJL001W,YJL066C,YJL088W,YLR314C,YLR438W,YMR012W,YMR202W,YMR229C,YNL016W,YNL138W,YNL216W,YNL287W,YNL312W,YNR016C,YOL086C,YOL097C,YOL151W,YOR042W,YOR198C,YOR276W
WT,6.472342918850423,5.785767255614778,7.6762227905353075,4.005594732561781,5.677923997370307,5.187751380077305,4.8238346450644665,5.954519135711561,6.0960129527927975,6.1939845613386115,5.703548841689107,3.9180652743257056,8.111342986737082,4.6697254497805885,7.554130313336338,7.145709752232149,6.273909909435892,8.050540486511466,4.6650310785678455,5.0507034545559994,6.255180081240161,4.021186011562747,6.393802593964513,6.194167453087374,3.5511175828324006,5.132161306773512,5.902574264256946,4.796013127575742,7.462926692977195,5.043741355416231,4.525974001731246,5.80269863489842,5.237147014523441,7.8067765044415305,10.084892047815249,6.222605912583537,5.6975435715179055,5.115305679287023,6.707147570622517,5.070219269284213
YAL017W,6.299363356880781,5.724483121706276,7.367281620140308,3.593708455457444,5.727942991190448,5.25176596879657,4.681832198718807,6.049043384805263,5.903745643329833,5.915701841713816,5.952111805643892,4.0574764846488725,8.000245024196808,4.62321279660355,7.798379952420762,7.386756457418858,6.255364141560648,8.702999594497031,4.724605221834581,4.858673269751511,6.177124833462592,3.6464507992541706,6.260238093149147,6.098398460542271,3.701737694675364,5.252938334919392,5.821227364990847,5.057550121722478,7.44681806789737,4.5139126259025,4.334409110022701,5.522321334582736,5.1148246003759965,7.418510513866758,9.955537692464128,6.1600027978375005,6.047332672475008,4.954225529605301,6.964034398851795,4.664867152413287
YAR018C,6.4372919840679685,5.581593630433929,6.8832327063240495,4.496410433882161,5.574508286837678,5.112559447528307,4.640415327305304,6.1816184639893255,6.11854549568042,6.25513426098832,5.980479991568204,4.227774785562684,8.183997386203103,4.178401304681235,7.659143286536338,7.470083340635393,6.201068787382746,8.607853062019464,4.94517299139165,4.8609372589875965,6.48819197110902,3.3662799640133008,6.6656435872502975,6.216714299001132,4.075948825676039,5.426484342431109,6.114909283758459,4.6166449835307155,7.3216157541560865,5.0288592425213885,4.4326695569196515,5.651336284897284,5.33331924814407,7.782765024480038,10.207938865658935,6.073926510432745,5.788244882375769,4.878485230757174,6.9057501950430344,5.0396062831438355
YBL016W,6.923136652488807,5.898318178170309,6.823975147756545,4.238042963219353,6.4034152491151,5.101528820159077,5.0901016790593285,6.350080077900456,5.458418202148853,6.771538271397773,5.245569988662737,4.365498260757469,8.464305268400988,5.666115648314038,8.104445221586502,6.961050321954013,5.961541337547679,7.137777503584357,3.96705507734704,4.245993776376508,6.893461888662503,4.431498820106507,4.911082032368165,6.442019508207481,3.953631716271294,5.339506765263606,4.749038288663501,4.695753717134959,7.232252206712237,5.268204653503129,5.0209196047509055,5.6979811187158935,5.100963541034816,6.883828938413253,10.37394930950767,6.476136531080271,4.997925125657657,4.730531248034213,6.362461720953553,5.614211959550212
YBL088C,6.447050373656629,5.454617071707312,6.94691972865563,3.960262828087308,6.187830628166482,4.873195276907628,4.526655275060229,7.136911503673936,5.430585307454416,6.4038623346139145,5.700631554976881,3.855640346698556,7.905685488289963,5.244324903943569,7.868133523435622,6.796698815856384,6.280593932530142,7.6163445134485235,4.276573431131486,4.657025261832576,6.737012626605103,4.472069514204351,6.562489530498554,6.215115880326544,4.014371289726571,5.425026978695133,4.717359883687588,4.021032340739988,7.355032797979207,5.331678804824639,4.177134061819825,5.553607888590304,5.017645432917906,6.169644799314603,9.982318882905119,6.5453897439095625,4.904998669655121,4.92407451517781,6.289620781384499,4.8350900712789056
YBR028C,6.3506822707894734,6.175476404218036,6.707138160151468,3.1046097410665623,5.707959054694737,4.8637953145033865,4.745030020868766,5.9818950306319465,6.463354113164438,6.012432541819937,5.425361294782285,4.288979884937292,7.327190913246777,5.4635644226710545,7.793655919880098,6.902485492829971,6.393628013524133,8.115977610568411,4.623456885447101,3.896885954837643,6.077817065875408,3.811580302668757,6.148280900860784,6.025288848435161,3.5983193888669374,4.847222553231829,5.912105634202874,5.232292213149352,7.472166439949581,4.508366054875552,4.314317767930461,4.9489646667935085,5.045512484388668,7.476232844083911,10.007864462747463,6.376490320128831,5.375163401869035,4.714881603036455,6.467182845301758,4.981607352562984
YBR059C,5.949732306040745,5.495086692388909,6.700506184012537,3.194526726614592,6.41537303937945,5.13740674553995,5.367914198589499,5.87228564087088,5.8405365490381875,6.145307658248623,5.6528773059136,3.4901682048674734,8.983706317918232,5.165460472231733,8.290705530668362,6.753391637759818,7.009990476374247,8.906031893969821,3.8000446862970687,3.9801896780991135,6.521820475234767,4.749073610798106,5.923132045684277,6.232066980714791,3.6970463562295164,4.960632824857349,5.409615602123754,4.7457817647978775,7.442111639643166,5.1159798538831796,4.391014240573268,6.01131943837217,5.565071442997712,7.826279862753108,9.996000792820519,6.310155666750674,5.695327984629968,6.077535148822521,7.425571326487738,5.96534464772873
YBR097W,6.594852802246503,5.80161638960005,7.2177388231885065,4.563653842088573,5.739556105223687,5.129708235100163,4.723636612549956,6.035793959948281,5.596077679505813,6.555128247964215,5.906916662759698,3.8717832844209235,8.118915019602532,5.010651111504803,7.603243961579305,7.244316336766733,6.360781965341426,7.5063207653719255,3.767601753623032,4.9886502935072885,6.5193327139262225,4.665372582563848,6.023323407262393,6.0295651056353865,4.059276192721934,4.804592412483139,6.2224334050525725,4.532104490094857,7.5322556214040945,5.075856135076066,4.4088868046557055,5.717788867376348,4.821225039046891,7.674939685866412,9.823723521255408,6.478003261678197,5.66864346712542,5.1457766935986955,6.817867889989157,5.2955749390657765
YBR274W,6.4283185485658105,5.9736614706311775,7.085357580361102,3.642841389514819,6.0448910142288685,5.128203142979284,4.791489597918495,5.844312818822671,6.229427416573468,6.465751548754952,5.554841249676441,3.1070303289064505,7.6015699598809325,5.540220168250519,8.051174850604626,6.99838590296752,5.8828309969617525,7.9984049492281635,4.610456115588074,4.42443749642606,6.091295973220762,4.540323260877286,5.745370562129517,6.4607084736075855,2.8961651563987623,4.804313782988755,5.825848911329359,4.92767382777618,7.877073339017738,5.4644262236925805,4.691026879403736,4.867815983611157,5.463034794943444,7.165694787851918,10.012055891019953,6.384400318744892,5.847038228311584,5.041839416672163,6.7315270885296075,5.056832186692581
YCL024W,6.529587685290643,5.357105898292713,6.585195971034996,3.939989354326472,5.611290664077057,4.9831705661219345,4.468813547444499,6.243220894261228,5.135605671003297,6.0854731440678025,6.036391973874553,3.8630160666114777,8.03651770151917,4.427622633772135,7.78098611209368,7.3936046702959155,6.465672261978764,8.58617073824236,3.8473651945348784,4.124371372105958,6.496939062553301,4.393949593977529,6.717541891525669,6.235554522557586,3.904280086649568,4.314601782175143,5.906678502052442,4.173332252078725,7.298045106373237,5.263533659587692,4.606785524828135,5.844490772266733,4.894885481973244,6.277907375403668,10.046124900362557,6.4783743061888615,5.739701107898853,5.004967891739926,7.189507832085322,4.967871579839009
