,YAL007C,YAL012W,YBR127C,YCL057W,YCR012W,YDL055C,YDL097C,YDL236W,YDR382W,YDR395W,YDR516C,YDR533C,YEL021W,YER012W,YGL062W,YGL255W,YGL256W,YGR124W,YGR231C,YHR146W,YJL172W,YJR109C,YKL013C,YKL145W,YLL026W,YLR179C,YLR292C,YML004C,YML063W,YMR217W,YMR297W,YNL138W,YNL216W,YNR021W,YOR099W,YOR198C,YPL143W,YPL231W,YPL262W,YPR074C
WT,5.0034033606592105,8.743337685246285,8.591522343939506,5.046656443114927,10.416751356207447,8.457459098928034,5.132198505348987,5.218283746803102,8.483485689533996,3.748122491855633,6.888141743404518,6.238045589153396,5.606486453738034,5.954519135711561,6.011777681303093,5.162048615725939,7.628689616870272,5.892965207998648,5.7787491584354616,5.668007160526992,8.885141540553658,7.035200062159108,5.121218188754623,6.009579128684599,7.619323547510313,7.6469181314262515,4.219860745824607,4.90526568862421,8.148361829528941,7.187741846257451,5.667255728865165,5.043741355416231,4.525974001731246,5.313501100268859,5.6637318097221705,6.707147570622517,4.04192349574829,7.950418890893732,7.025441000880322,8.496313433827659
YAL017W,5.155913816355762,8.670526069215079,8.433405643707365,4.614335788694956,10.565688917113812,8.41027747820805,4.994420253725019,5.055252947328158,8.613228510895237,3.7677857442653413,6.546584568876227,6.325006013929558,5.171313527780984,6.049043384805263,6.41128826149748,5.445681416595202,7.610992010257256,6.0404428637236025,5.61801425656501,5.7851160968408974,8.946003516291649,7.337518392284338,5.036397530742739,6.203818782397809,7.267311810094313,7.602167109360628,4.2067832744091085,4.259081317098022,8.07435518594833,7.368600992412984,5.67295314303129,4.5139126259025,4.334409110022701,4.897606355898125,5.461585239362229,6.964034398851795,5.411679753631983,7.843990216762087,6.845798453494072,8.456137616189315
YAR018C,4.993235176709044,8.556955645710502,8.438559867503429,4.8847724274243465,10.578822756637225,8.638083264316244,5.0948015378730735,5.131230143899405,8.729662300481738,3.955430411386714,6.798845035036496,6.387775619801793,5.126248665383455,6.1816184639893255,6.1170295139017465,4.7329000467293065,8.066039259562269,5.779523542467812,5.650977067894218,5.563079008276089,8.762501005467945,7.600249202708973,5.486339541407576,6.127594228994704,7.105508782566857,7.546387199177978,3.588136253591654,4.3142734660047255,7.454845371598608,7.158928645818392,5.557804651445973,5.0288592425213885,4.4326695569196515,4.042899031668917,5.447013107607853,6.9057501950430344,4.955011560772472,7.755970263996629,7.137919873847261,8.388259091242652
YBL016W,4.663339986004169,9.116122376787363,8.820977397852714,3.961922168127436,11.100746841543227,8.498873075356006,5.592201016772643,4.759292288876728,8.713782133584349,3.169825469872083,7.4548252876175845,6.0106924280308505,4.98995222288012,6.350080077900456,5.3043100390030515,4.991371584163508,8.628004403510914,6.095797705007441,6.0505511036294575,6.233351003659138,8.834115892432896,6.724968994082718,5.500218061491761,5.933776523724606,6.877984641022422,7.511297361198343,5.483633403884609,4.3494425238949574,7.637767357610166,7.556006351241031,4.921846486340353,5.268204653503129,5.0209196047509055,5.477485470196685,5.244225285148441,6.362461720953553,4.837253626370098,7.000672191263644,6.8973134809930885,7.360401530857247
YBL088C,4.984652636070747,9.056300219574107,8.453337878670336,4.560163134602201,10.878800458744537,8.504974421879982,4.3315754275946245,5.208796879818825,8.71249875117357,3.5049633130193967,7.301932431012733,5.888072679507212,5.268641825555126,7.136911503673936,5.500480300215627,4.683169706549276,8.540835127645064,5.6530075083509415,5.370329712077948,5.621710845426521,8.887681417599833,6.9198026056393775,5.245832047844399,6.031851374240112,6.836834335347189,7.811233773449072,5.082127150411755,4.349143592743777,8.217288977502276,7.269645442732951,5.459692310418329,5.331678804824639,4.177134061819825,3.6664405693508906,5.4393609129562055,6.289620781384499,4.987452540514967,6.687051301217108,6.6751331841676835,8.281125910273293
YBR028C,4.81792839291979,8.883538928020007,8.542548765803357,4.70629842756973,10.514704560196456,8.24099564783445,5.1583966883718135,5.164522731462157,8.644575317445932,3.724404635088744,7.1647846893647955,5.628473870071791,5.028131537237943,5.9818950306319465,6.122566791749098,6.5221991751453565,8.77780160262964,5.569196094665679,5.50323630207126,5.605502928867779,9.178704962484627,7.095570535257101,4.616176895166441,5.860913059895459,6.438509623346692,7.809341103970107,4.624775441691793,4.230739222768185,8.045947937964131,7.537550897749723,5.064381343852048,4.508366054875552,4.314317767930461,4.657222545611344,5.585175875603649,6.467182845301758,4.414936037479814,7.7628317777726785,6.718094085279598,8.465232182478553
YBR059C,5.18933975607766,9.15928577958802,8.725924143931126,4.93736491893547,10.653264195612724,8.370564762994153,4.2339930590688395,4.719164312948561,9.421580479151206,3.6074990007862393,6.767553638989212,6.793766511337871,5.391910073436779,5.87228564087088,5.804604490930952,5.103566704451317,7.8437589523983124,6.000482640667883,5.1791183281628115,6.502978940055447,9.624211480051137,7.043084304870411,4.486953591196368,6.813008849960602,7.148458723962765,9.075682014139248,5.389249463573114,4.68535253399633,7.19272367059054,7.276975920496169,6.798821136055727,5.1159798538831796,4.391014240573268,4.022445963911307,4.464709063394534,7.425571326487738,4.519848060156176,8.21076607853418,7.71888303598941,8.133654478839826
YBR097W,4.871726779461422,8.592912892790537,8.605060702563652,5.722924307218022,10.419981698068405,8.424527417077062,4.4578537641843985,4.9851797832275375,8.516641673964534,3.233713206117965,5.541985036219423,7.4361442073851025,5.506559073007881,6.035793959948281,5.729937130603122,5.357868315922231,5.547296779889464,6.023917298184906,5.815079566520097,5.870759024777059,7.716634269135543,7.361169689977268,5.232978520320861,5.727749393906438,7.273729980579599,7.766059591419972,4.771589714659993,4.7556679582466534,8.013554941503786,7.186306915273674,5.200623380145614,5.075856135076066,4.4088868046557055,3.8430822751075935,5.896925065773795,6.817867889989157,4.2750155598246495,7.860110049345963,6.791571665112191,8.447820678641643
YBR274W,4.9543547591037145,8.695620114160013,8.92351142100518,4.221084208968728,10.301572207721168,8.54553288507549,5.129509264767245,5.3810714577763745,8.40729514469368,3.4743629527765103,7.311313079113098,6.259067829650662,4.8132191604313865,5.844312818822671,6.10657134516776,5.374709629691537,8.313372643577447,5.777834739566653,4.386103111991142,5.907056244140012,9.160435110594076,6.509237253501756,4.195099879818804,5.934697013191755,7.164127147334704,7.8654454933343265,5.094464989245823,2.960109800518162,8.460645949611006,7.401554679741531,4.212101292683004,5.4644262236925805,4.691026879403736,4.963675253392415,5.70272547606554,6.7315270885296075,4.9012108700796535,7.820010075193317,6.939156292076096,8.645493487965835
YCL024W,4.8836702501411695,8.751419147869125,8.50218710195925,4.710987596059498,10.854676300400376,8.38421628915645,4.295197094021235,5.332612962475479,8.71967644207848,3.877148957568208,6.788814651853781,6.2764302569267985,5.537106745286268,6.243220894261228,5.518650165950977,4.486312818038543,8.422338826653823,5.8648488664126015,5.4695825836514365,5.57440405113697,9.040759778251127,7.1003692834011,5.1972177381453015,6.288383199648597,6.884045650010003,7.724669267044781,4.310456622307696,4.117211174598902,7.923006295905178,7.319722637237389,5.449323603227483,5.263533659587692,4.606785524828135,4.00523140934806,5.466622177910587,7.189507832085322,4.994237298701597,6.810572283486017,6.931834042055402,8.11183946150533
