,YBR089C-A,YCR004C,YDL014W,YDR063W,YDR226W,YDR321W,YDR382W,YDR427W,YDR533C,YER012W,YER052C,YER091C,YFL039C,YFR010W,YGL048C,YGL062W,YGL206C,YGR231C,YGR253C,YHR107C,YHR146W,YIL109C,YIR034C,YJL012C,YJL066C,YJL217W,YJR016C,YJR109C,YKL212W,YLR180W,YLR197W,YML008C,YMR217W,YNL104C,YNL134C,YOR007C,YPL226W,YPL262W,YPR074C,YPR163C
WT,5.762258335944098,6.273684685025858,6.175814584056914,5.187751380077305,8.27631248147614,5.679704414949763,8.483485689533996,4.7490880325892375,6.238045589153396,5.954519135711561,6.583490605202958,9.689934818899252,8.861712642892181,3.5627955957750617,5.703548841689107,6.011777681303093,4.723962132471302,5.7787491584354616,6.504548524293578,5.505814756406241,5.668007160526992,4.6650310785678455,6.7383742041840025,4.839960166762384,4.021186011562747,5.638003261227246,7.93532395601324,7.035200062159108,4.958731745516211,7.8238625639411365,6.884547619559026,6.553235436668864,7.187741846257451,7.149792089931747,5.33632431527157,6.6814345953927985,6.473278508578818,7.025441000880322,8.496313433827659,6.6170360976385725
YAL017W,5.624496620481625,6.287544983297843,6.383709591448091,5.25176596879657,8.324517007689456,6.002863375926838,8.613228510895237,4.9820077129784055,6.325006013929558,6.049043384805263,6.613203059839143,9.73992146430021,8.920606845234238,3.9259906645440616,5.952111805643892,6.41128826149748,4.690693111366022,5.61801425656501,6.5767062169909405,5.577719322213848,5.7851160968408974,4.724605221834581,6.5508329484295285,5.263328097213866,3.6464507992541706,5.365537160427887,7.921544288285644,7.337518392284338,4.961765584613271,7.843901850280732,6.95692358495238,6.837955047309814,7.368600992412984,7.205817838330545,6.038495135878438,6.5762320207392335,6.426875967016777,6.845798453494072,8.456137616189315,6.557296537326846
YAR018C,5.6741017577283515,6.2684839700756845,6.774225201095443,5.112559447528307,8.340712425898683,5.754280068500727,8.729662300481738,5.169862749791198,6.387775619801793,6.1816184639893255,6.577014855488351,9.661842931339924,8.662946338950483,3.348401567005168,5.980479991568204,6.1170295139017465,4.974813642004099,5.650977067894218,6.585535292065886,5.656733387269406,5.563079008276089,4.94517299139165,6.446616827086673,5.2694033859726135,3.3662799640133008,5.771399270174687,7.749806343205246,7.600249202708973,4.9549182282380855,7.841167482709593,6.887369829400574,6.7876591163693885,7.158928645818392,7.280038806713523,6.249799479205465,6.825333412679732,6.3048440447394025,7.137919873847261,8.388259091242652,6.254297239776121
YBL016W,6.662681511601964,6.672753718760671,6.7078808481119925,5.101528820159077,8.330764646378647,6.011813128358053,8.713782133584349,5.023601709674834,6.0106924280308505,6.350080077900456,6.353212037769402,10.214284860645897,9.536912297038938,5.6427951533949505,5.245569988662737,5.3043100390030515,3.552786178094334,6.0505511036294575,6.688815484903125,6.865370397750772,6.233351003659138,3.96705507734704,6.861248330706612,4.0595947748767545,4.431498820106507,5.72899629752214,7.716662700350789,6.724968994082718,4.014386336661556,8.122101397716937,7.065765735612255,7.035505379542268,7.556006351241031,7.32321746550841,5.9609536518482455,6.5652297089499445,5.638995855006603,6.8973134809930885,7.360401530857247,6.169977924985614
YBL088C,5.760720980077019,6.117740671550218,6.806426795439121,4.873195276907628,8.360378240707693,6.0590222479779445,8.71249875117357,4.657968094607706,5.888072679507212,7.136911503673936,6.707739483803391,9.646675381635339,9.242770704780286,3.433500300694853,5.700631554976881,5.500480300215627,3.031840954475064,5.370329712077948,6.3722897561686445,5.528337062394629,5.621710845426521,4.276573431131486,6.708974431720562,4.921113359372141,4.472069514204351,5.662404023583631,7.740156676332639,6.9198026056393775,4.1353370504869735,8.028249208213905,7.001664240403187,6.693765477992648,7.269645442732951,6.984166091920889,5.458425882171736,6.3827064092401145,5.348218544223963,6.6751331841676835,8.281125910273293,6.5512728802731335
YBR028C,5.660955093456592,5.9891404428422215,5.52616828991328,4.8637953145033865,8.292149610147463,6.114021809576918,8.644575317445932,4.582556436308106,5.628473870071791,5.9818950306319465,6.821089678810799,9.92187140570165,8.928061728949055,3.3576320646245783,5.425361294782285,6.122566791749098,5.0697371949095,5.50323630207126,6.3367336419975615,5.753806467580127,5.605502928867779,4.623456885447101,6.8835892600565876,5.1094689744179504,3.811580302668757,5.93555049772316,7.8837504531786875,7.095570535257101,5.160364806489273,7.911841438657597,6.704321792760228,6.5850529496990085,7.537550897749723,6.9255706380565965,4.950474663967057,6.332427215658402,6.281707273674643,6.718094085279598,8.465232182478553,6.415036357546183
YBR059C,6.7443749380125135,6.416253060107057,6.314884981871399,5.13740674553995,9.26180827471279,6.375970342986431,9.421580479151206,4.04711299704075,6.793766511337871,5.87228564087088,6.873870041625726,9.976430481233043,8.608161885794331,2.4479252777524194,5.6528773059136,5.804604490930952,3.8085241721550585,5.1791183281628115,6.838028099829321,6.967574668478052,6.502978940055447,3.8000446862970687,6.653522659692599,6.461701903198576,4.749073610798106,4.829714858431259,7.821212680855802,7.043084304870411,4.8691744750085935,8.121436588811713,7.379825163843988,6.32738174266103,7.276975920496169,6.88743447193354,6.01412298307536,8.039430013326905,6.4767192858985885,7.71888303598941,8.133654478839826,7.364514907392483
YBR097W,5.581386314681655,6.847469291770367,6.802217635488473,5.129708235100163,8.222034983256712,5.9366482827101175,8.516641673964534,4.767175366326162,7.4361442073851025,6.035793959948281,6.8095457540505695,9.65949592879845,9.16063870473507,3.6383611029754332,5.906916662759698,5.729937130603122,4.787177716557942,5.815079566520097,6.542634503060389,5.5127382854674005,5.870759024777059,3.767601753623032,6.563080336736928,4.348913429463548,4.665372582563848,7.197455281535423,8.072076802531244,7.361169689977268,4.9252693834890655,8.048705873754567,6.712220025919489,6.7930794121274625,7.186306915273674,7.1457561700644465,5.858143725417987,5.89364122450668,5.87339546749339,6.791571665112191,8.447820678641643,6.47462248998558
YBR274W,6.047984992905063,6.624479786048917,5.82190536105227,5.128203142979284,8.179794304349413,6.120900084629662,8.40729514469368,4.645150202451499,6.259067829650662,5.844312818822671,6.783935046840396,10.156573767983376,9.506613874938665,4.007945399363823,5.554841249676441,6.10657134516776,4.637075477242192,4.386103111991142,6.467035540758183,5.934977455005863,5.907056244140012,4.610456115588074,6.820839622945888,5.101533045573438,4.540323260877286,5.488411459359814,8.134129780666031,6.509237253501756,4.7575543592396015,7.376576532538153,7.017262317370544,6.4833741297360215,7.401554679741531,7.292281591025122,5.449941437864358,6.164177190027655,6.215594957715607,6.939156292076096,8.645493487965835,6.650572459300179
YCL024W,5.551743455424584,5.971577316696742,7.001337798121472,4.9831705661219345,8.223951145496606,6.237885058783648,8.71967644207848,4.867440555802432,6.2764302569267985,6.243220894261228,6.614415052605892,9.763538769459167,9.059231934303382,3.6957901655846177,6.036391973874553,5.518650165950977,3.6542570216834704,5.4695825836514365,6.353352577195697,5.815331129163536,5.57440405113697,3.8473651945348784,6.729848688943701,5.495333913372432,4.393949593977529,5.611805025919415,7.933605647865982,7.1003692834011,4.326537241965198,7.981029675580545,6.9124535558862625,7.099485113912122,7.319722637237389,7.169205661441118,6.090010374148336,6.284048255882207,5.468126430911199,6.931834042055402,8.11183946150533,6.529669450119183
