,YAL005C,YAR015W,YBL092W,YBR084W,YCL018W,YDR158W,YDR365C,YDR378C,YDR502C,YER073W,YER094C,YFL037W,YFR009W,YGL009C,YGL062W,YGL253W,YGR130C,YHR007C,YHR020W,YHR068W,YIL094C,YKL001C,YKL210W,YLR061W,YLR075W,YLR153C,YLR229C,YLR244C,YLR314C,YLR448W,YMR105C,YMR146C,YMR229C,YNL255C,YOL061W,YOR198C,YOR261C,YOR298C-A,YOR303W,YPL249C-A
WT,8.960088296224306,7.5791281456199595,8.311344337864039,5.620283332009939,8.610223033831986,8.103973911718924,4.656230656593051,6.122867683030018,8.503080637464317,5.6661106660308205,6.436849032437862,7.736868044320158,5.933552914817531,7.745271350818363,6.011777681303093,8.57250731608662,5.027671378401877,6.3756170778727315,6.653245267287688,6.4648193242187535,7.677172893958478,6.334275525154419,7.467360896369201,5.757820008311152,8.652209889793468,7.021203927885116,3.967004344815221,5.464151030742258,6.194167453087374,7.380104238583306,6.386305273494688,6.5440915806513935,4.796013127575742,2.779836971429736,4.313881483462526,6.707147570622517,4.796886498031809,5.7207883895837215,6.826877690128044,4.6285901523697595
YAL017W,8.824927490388932,7.622924005544211,8.1723546691443,5.626474887243092,8.68810352308332,8.026715950051507,4.3849615936631,6.230397852046478,8.503233175958965,5.81936681030305,6.176225849833938,7.620013633732497,5.2740657721914035,7.547156838872893,6.41128826149748,8.520145926698046,4.8199724536073045,6.554054480013282,6.60671690952286,6.650100106616516,7.819353915212593,6.470476581078566,7.086769168411641,6.563941976067464,8.411567672752174,7.041045156870173,4.1574969329321485,5.614598914863354,6.098398460542271,7.381477480396787,5.994001751562243,6.690907569638269,5.057550121722478,3.3933026738022583,4.469059895837766,6.964034398851795,5.00754833068646,5.841185718865481,6.7888219785868085,4.620222763967219
YAR018C,8.550221000857466,7.712280333745041,8.00817530392511,5.65166609060874,8.220584307664883,7.95484899894427,4.312888213247156,6.294651679676166,8.426819076486511,5.819582890222327,6.333831981922407,7.684725890471502,5.492420157360562,7.800328092534956,6.1170295139017465,8.510576358623162,4.7493630499887844,6.268371613415523,6.47378575036321,6.508049709125596,7.6518422631090175,6.439375970536478,7.342173039715091,6.458145241184044,8.27954239161,7.227631724784688,3.7733612507180414,5.263546667703438,6.216714299001132,7.7161654404654145,6.078098658674983,6.676670281105747,4.6166449835307155,4.053719830515212,4.136717503558668,6.9057501950430344,5.246713244430638,5.729525456805179,6.465538125929648,4.428807441645757
YBL016W,8.691757834736594,7.560972212532167,8.650173301677214,5.5037050687679585,8.529171527566547,7.880253615084414,4.7601168564494465,5.087176163465911,8.31557256114135,5.984543670154732,5.976820123621423,7.742824213887098,5.605168571677818,7.570812415674683,5.3043100390030515,7.327040662703612,4.643599610721954,6.10348354027249,5.439368643328012,6.077328108467425,8.121086145241275,6.096132717638477,7.0427500464736665,7.236338738742722,8.810968141435678,6.66387413424279,4.167603687323412,6.331529306860403,6.442019508207481,8.153845159816676,5.1533744447411545,6.897666544995139,4.695753717134959,4.233975378078924,3.80622198380918,6.362461720953553,5.313599320800884,6.1601077310939605,6.984850901803608,4.480806715467828
YBL088C,8.763243791293629,7.733114735479344,8.53929854082792,5.297984246245077,8.70430841968005,8.076028208512353,3.2679215923298317,6.080423124438946,8.345666972146637,5.6338719634320045,5.791970862145183,7.4760178750010216,5.194418116176756,7.584694673792987,5.500480300215627,8.598952913538584,4.554451484534528,6.1847348248098175,6.3189184235969345,6.358200450617242,8.118834669929555,6.253504417075582,6.750406637492003,6.339947304153216,8.651034342649991,6.611707758169452,4.192338506469248,5.563000467170135,6.215115880326544,7.896623338557262,5.439662762419131,6.826790510404699,4.021032340739988,3.853150412026747,3.7981957724269755,6.289620781384499,5.213238943411163,6.637876684406438,6.752875772091852,4.12822800802358
YBR028C,8.007757468372589,7.522194167072429,8.858880449786922,5.511654916696243,8.290324043409022,8.015842743893824,4.5358794012821,6.051517864652281,8.507951320583192,5.467024086498517,6.381628428903363,7.5047626300545005,6.347526229415202,8.00754695349475,6.122566791749098,8.800829618818984,3.6617445284500976,6.5440378982100365,6.873084784496366,6.7497075652290475,8.005462371250431,6.27346306906133,7.319890222078548,6.1932688078547145,8.633770826269858,7.119436078977883,3.9645448636365086,5.600879057558659,6.025288848435161,8.134866393073157,4.58418518707708,6.662337855032699,5.232292213149352,3.7374106480984186,4.569124669592377,6.467182845301758,4.605934569367012,5.9469221368125735,7.307033961440372,4.7373067062468985
YBR059C,9.471319393810347,8.439912567036457,6.293300973648548,5.302138620946799,9.10591817655053,8.024679020903925,5.2640435007062765,7.1334464493725145,8.730209742227231,5.533275975970696,6.49223989949224,8.666301042520361,6.366109359441341,7.61317289154444,5.804604490930952,9.122823301915377,5.716770165068468,6.024679482296766,6.9963654233680215,6.328428590787143,7.161549611149567,6.648746862626661,7.625184073962853,6.246023700446358,8.738551130030796,7.044550324516673,3.5230364139111017,5.96771700012887,6.232066980714791,5.46032639333305,6.2226802790825175,6.7583335431601235,4.7457817647978775,3.486487579763696,4.40136365840507,7.425571326487738,5.601118492358851,6.556777351454784,6.720777858303268,4.836076464947972
YBR097W,8.674740089246914,7.8213765416560594,8.627579824119671,5.466213369796168,8.547252825922305,8.307445228868103,4.634364263325193,6.249172673943268,8.633787711625889,5.829246163255937,6.855033280954661,7.865194253149254,5.667905978947933,7.7496115542344945,5.729937130603122,8.082910122324595,4.631606817736129,6.226848034832,6.417234409096029,6.7773689416300495,8.14926379088304,6.183177504227139,7.2975024018692825,5.969772878148216,8.031659632082349,6.927306490436628,4.211694638783204,5.809918569803723,6.0295651056353865,7.5386443626414605,5.815984128160375,6.82412483866068,4.532104490094857,3.4322644856520306,4.523293827315486,6.817867889989157,5.059130322680223,6.002680008539446,5.8531632594906755,4.4747161360684125
YBR274W,8.833183888705655,7.404106032175697,8.902399208293124,5.178543994342939,8.429216045189168,8.331057498233019,4.4370790830918105,6.207321973589362,8.63550807390706,5.801722270102013,6.235092384791219,7.737623675325504,6.2648236951506195,7.955666019287103,6.10657134516776,8.565531877127631,5.2185025567527825,6.264965884993532,6.526898706140681,6.471535909664378,8.240065122388076,6.342033296802644,6.969764632921637,6.576876517093284,8.756468734825354,5.996409480235653,4.4203232847546134,5.517480423448113,6.4607084736075855,8.277992754150766,6.1398431425783055,6.882060343194016,4.92767382777618,4.0212976234931235,4.979540775040885,6.7315270885296075,4.7459413169355535,6.25091793869874,6.72675704001439,4.895093135904429
YCL024W,8.405297842496763,7.85888427284841,8.468324578605785,5.262768670079113,8.818458411922316,7.791586369427304,3.4698327087708085,5.994209650519362,8.263921263421434,5.584145031103602,6.2150834190579305,7.608666397047387,5.449035668884696,7.1402725283072375,5.518650165950977,8.549556428928911,4.007194851633825,6.127445881350613,6.1773508999944235,6.352498801575019,8.180594003959403,6.452651032805421,6.574109959513593,6.517756708649235,8.167238868081494,6.383671665034888,4.5052432413229715,5.824606951077228,6.235554522557586,7.681616316719041,5.52668112415688,6.958696846661797,4.173332252078725,4.117835722111548,4.197479218559355,7.189507832085322,6.163425333691512,6.440639998959978,6.60144552889536,4.534076282533004
