,YCL009C,YCL037C,YDL084W,YDL092W,YDL131W,YDL195W,YDR037W,YDR091C,YDR127W,YDR158W,YDR174W,YDR382W,YDR516C,YEL024W,YER031C,YFL039C,YGL031C,YGL253W,YGR185C,YHR029C,YHR128W,YIL124W,YJL008C,YJL080C,YJR025C,YJR065C,YKL182W,YKR071C,YLR262C-A,YLR303W,YLR355C,YLR380W,YMR186W,YMR300C,YMR318C,YNL112W,YNL243W,YNL312W,YOL012C,YPL028W
WT,7.434492758675585,5.205248305452251,7.455233858136665,4.2930914620315965,8.233437725614053,6.0481421575193375,7.283721547364662,6.197983704684347,6.2682591195162445,8.103973911718924,4.8238346450644665,8.483485689533996,6.888141743404518,5.895574553388999,4.862587886340405,8.861712642892181,6.752560461004316,8.57250731608662,6.109801211515817,4.8864955820233655,6.273909909435892,5.336657124104075,5.6581023299057165,7.663043077498507,5.192945181992217,6.221457058109609,8.109716425400629,3.8212883260526023,6.662383994099301,6.705839539039337,9.450131976308944,4.796859519433141,6.9972391956205975,6.9299002336098185,6.5984532873671125,5.501056215033718,4.033866439398949,5.237147014523441,6.6551103283873,7.657048707454457
YAL017W,7.348110518257741,5.6606263603624685,7.679708139383727,4.270185524790266,8.158082958457317,5.856697080802733,7.382876213478895,6.3211723692726425,5.952557894652671,8.026715950051507,4.681832198718807,8.613228510895237,6.546584568876227,5.543114122662773,4.759904925817854,8.920606845234238,6.9115527200207,8.520145926698046,6.257794631915335,5.155262250265215,6.255364141560648,4.900858758975356,5.499527637805337,7.968191294192393,5.408349456271566,6.0341572031811115,7.924568611805773,3.978206954487173,6.666063170268468,6.438153056215862,9.294169743155287,4.243918293630442,7.166543291161378,7.120131394187478,6.577037508430475,5.667768092042056,3.90935268907122,5.1148246003759965,6.71888489049698,7.628510820233765
YAR018C,7.492097944339867,4.948927963476604,7.494300957237872,4.255021408467625,8.174247679088866,6.021812146682656,7.294144905526452,6.149898513500276,6.016387229288231,7.95484899894427,4.640415327305304,8.729662300481738,6.798845035036496,5.576849235226551,4.605703486165033,8.662946338950483,6.514088081204384,8.510576358623162,6.273754290467139,5.280134705001712,6.201068787382746,4.694444829883487,5.473627273818922,7.189054615418741,5.150282669549785,6.173496107213852,8.065964008414635,3.5540527681153176,6.535215559946643,6.1039983632195085,9.140196685373342,5.180847409760204,7.156408383382487,7.150543548827912,6.631991740322827,5.654733515043874,4.087856006699931,5.33331924814407,6.426546858428773,7.841000709095361
YBL016W,7.658992960038407,6.032079574436759,7.862184453044512,5.1465927822014255,8.23107593004209,4.8638432632549495,8.313175914104034,6.13738052191576,6.3134714242358365,7.880253615084414,5.0901016790593285,8.713782133584349,7.4548252876175845,3.2142525398806088,3.027000542409944,9.536912297038938,6.724350445085803,7.327040662703612,6.1564750600513625,5.3639845113495,5.961541337547679,4.6919317332055535,5.270780417890872,7.111695582255974,3.6366791179295914,6.0891471875548175,6.805410623307035,3.681568425843893,6.6540874949984525,6.550790877488008,9.530802132535225,4.706193123040533,7.433619021932441,7.688514711943498,6.886397704999987,4.976619654431564,3.5167741075108125,5.100963541034816,6.889802381211577,7.381355792547798
YBL088C,7.331100157252692,5.764368448995447,7.821718372034621,4.319283566035836,7.9231987758847975,4.5129355186686135,7.3815009379855185,6.740338562481343,6.3988272425795865,8.076028208512353,4.526655275060229,8.71249875117357,7.301932431012733,5.1676176982881925,4.214955567202662,9.242770704780286,6.293952691142027,8.598952913538584,6.405729545790847,5.313997444967368,6.280593932530142,4.08835554411376,5.7234636485631025,7.875139764321173,5.4402085781720615,5.833860857207139,6.839310977706469,4.436061693328212,6.5268444508388574,6.906457244105432,9.437055236811004,4.5817934688251265,7.391868481272291,7.2098531255102625,6.232029437891468,5.497864912344363,2.831103485173378,5.017645432917906,6.7845337616931785,7.432871051389194
YBR028C,7.722582402315752,4.95554134436062,7.55707906715606,4.192483931351701,8.091290591956493,5.6486753917292365,7.559926082978983,6.3138922650394855,6.135864894650192,8.015842743893824,4.745030020868766,8.644575317445932,7.1647846893647955,4.8630736808115795,3.9939219322877855,8.928061728949055,6.5492067421979225,8.800829618818984,5.927798844965916,5.207311883033571,6.393628013524133,4.645145270127432,5.809784582079548,8.202735191216933,5.227788530669312,5.691359156029399,7.790709273671878,4.264574000781853,6.533916577236669,6.947165511989119,9.193757102613608,5.1378934540850505,7.320605226513141,7.202191310115935,6.347749101240794,5.399400436650541,3.869148611526918,5.045512484388668,6.611537339295339,7.526246917087938
YBR059C,7.867736212939946,6.145337133319519,7.580060470164223,4.730142723778344,7.877605612786679,6.217637597844763,7.990574769135102,5.814755236232407,5.647267240728621,8.024679020903925,5.367914198589499,9.421580479151206,6.767553638989212,6.896270813537887,5.349990107591014,8.608161885794331,5.602116880808394,9.122823301915377,6.656965972131803,4.702430120695454,7.009990476374247,4.814337069163457,5.621026201716229,7.246724378806351,5.937650343904438,5.350683578179207,7.483380247926919,5.097369187651555,7.66208924800472,5.724288368696327,9.651211520208847,4.520010267532134,7.127569596977731,7.0710935000136805,7.0042792818148065,6.055426611546317,2.9603683073907185,5.565071442997712,7.387647255444447,8.027557285872213
YBR097W,8.469591945143893,5.428629824452404,7.819840328230492,4.478532595316025,8.248136995136283,5.8506635419769095,7.375742937554685,5.732713813589378,5.2480473797772555,8.307445228868103,4.723636612549956,8.516641673964534,5.541985036219423,5.438579558158494,4.607991409373438,9.16063870473507,7.008354627784553,8.082910122324595,6.293742629623992,4.82903904556891,6.360781965341426,5.408029093853222,5.457097036620373,7.1932627350002685,5.276342886115595,6.276160975309986,8.186710666217726,3.776677659061967,6.472806347172482,6.994001305217723,9.038923903336824,5.138780049976094,7.142403243383358,7.070504543177867,6.807294177639514,5.6169121798908614,4.163468202194832,4.821225039046891,7.260232322643713,8.10156998318183
YBR274W,7.471239556047079,5.209906430265081,7.658015342768932,4.704599826419751,8.300833698185286,5.633411774281713,7.568311077276959,6.39238313977787,5.66555628566725,8.331057498233019,4.791489597918495,8.40729514469368,7.311313079113098,5.353140914937962,3.942683406841748,9.506613874938665,7.115662124417684,8.565531877127631,5.654129917433492,4.9213277887889015,5.8828309969617525,4.459994227905042,5.6713612523838295,8.062100409387572,5.314338923775715,6.197525575209394,7.630142038986907,3.709042755393909,6.4263522538437545,6.981183275773303,9.4469562428295,5.080759619261695,7.221183595448295,7.287604603710113,6.231078802312401,4.744681509171851,3.497027226647877,5.463034794943444,6.829472302905195,7.463590613808857
YCL024W,7.722491855239722,5.494530428431486,7.799870772647522,4.404172401004736,8.166637975680414,4.719595350505421,7.582122829958397,6.506264811445763,6.164755274161893,7.791586369427304,4.468813547444499,8.71967644207848,6.788814651853781,5.3324586605994,4.419115258474872,9.059231934303382,6.721448919772925,8.549556428928911,6.268059848505829,5.6114792754958165,6.465672261978764,4.730142568602871,5.4305467555547855,7.780958302343676,5.286712783815943,5.940101186078143,7.0071698986046425,4.508942738992085,6.697109669844612,6.661851983581773,9.371214629935688,4.757418053443863,7.275226262892042,7.266690421875096,6.45117865839885,5.790431610894839,3.126312046252904,4.894885481973244,7.122069501236192,7.817747963631139
