,YAL035W,YAR002C-A,YCL028W,YCL030C,YDL040C,YDL198C,YDR098C,YDR174W,YDR341C,YDR510W,YER042W,YFL039C,YGL011C,YGL062W,YGR061C,YGR148C,YGR240C,YGR285C,YHR027C,YHR068W,YHR183W,YIL075C,YJL060W,YJL130C,YJR007W,YJR016C,YJR125C,YKL210W,YLR027C,YLR061W,YLR257W,YLR259C,YLR303W,YLR314C,YMR229C,YNL069C,YOR204W,YOR285W,YOR298C-A,YPL160W
WT,5.3707786101190615,6.472342918850423,4.002774606946938,7.4142575602380445,4.610438689967394,6.018677038135781,5.063707385635741,4.8238346450644665,7.582292438889597,5.861049478644286,5.199801634129986,8.861712642892181,6.1939845613386115,6.011777681303093,7.248151288781308,6.1246098730902405,7.735446186937205,6.249032557236459,6.153339333340838,6.4648193242187535,8.35247017323082,6.077755109645138,6.431846728997058,8.03404860867137,5.706957866919849,7.93532395601324,5.543227601081289,7.467360896369201,7.190533388584012,5.757820008311152,5.0591397822226725,8.173977114070832,6.705839539039337,6.194167453087374,4.796013127575742,8.228181760301517,6.467069046320312,6.08797835368012,5.7207883895837215,7.131107933984297
YAL017W,5.37489278457415,6.299363356880781,4.2167110636347696,7.457980617284008,4.317163637308305,6.138186297385444,5.278277928597454,4.681832198718807,7.538489719824703,5.9822879793365535,5.536090238638245,8.920606845234238,5.915701841713816,6.41128826149748,7.198337115925138,6.06638093617716,7.712027099875628,6.249355712831577,6.065406816193546,6.650100106616516,8.334727054760464,5.899175426881069,6.111897901774669,7.836512668718492,5.898473042114025,7.921544288285644,5.3725980026671065,7.086769168411641,7.216304408457785,6.563941976067464,5.032304405209606,8.205866217294005,6.438153056215862,6.098398460542271,5.057550121722478,8.290234757331552,6.518973566481602,6.386703160139228,5.841185718865481,7.183190705920789
YAR018C,5.578206823325057,6.4372919840679685,3.8443939246763086,7.518940306574428,4.174215445349734,5.537387209397519,5.146177252377416,4.640415327305304,7.3431852987103845,6.131275056708412,5.432113435745405,8.662946338950483,6.25513426098832,6.1170295139017465,7.541926779476272,6.263623016571077,7.720595768509575,6.411266432870092,6.023275555843169,6.508049709125596,8.392657941888697,5.768387841540598,6.058570296739613,7.843205985362787,5.061136699876071,7.749806343205246,5.619623124273226,7.342173039715091,7.227398796129456,6.458145241184044,4.9583595346798734,8.403891026149138,6.1039983632195085,6.216714299001132,4.6166449835307155,8.010838211102431,6.267930525413005,6.780016346098293,5.729525456805179,6.8901163758587805
YBL016W,3.5967479299180334,6.923136652488807,5.3395608905483405,7.253333938435229,4.119016401071696,5.767394327169862,4.058423685999287,5.0901016790593285,7.125377515080088,5.8656211262989455,5.795921419928873,9.536912297038938,6.771538271397773,5.3043100390030515,7.491775385166719,6.633104536146318,7.227090325292705,6.702618869020196,5.7646868222721634,6.077328108467425,8.272701356229595,5.089407676254038,6.381548661393483,6.718737220009718,5.193651384806143,7.716662700350789,5.5793804120536254,7.0427500464736665,6.842635584378067,7.236338738742722,5.142041464868222,8.753794435646357,6.550790877488008,6.442019508207481,4.695753717134959,7.554488392381558,5.530121856080491,6.5679765002330495,6.1601077310939605,7.182478558414752
YBL088C,3.6824669102328618,6.447050373656629,4.8668065929789215,7.17517122882562,3.0627506056807143,5.6789490350205565,3.923516158579816,4.526655275060229,7.427306359207798,5.414005105720012,5.929684187314183,9.242770704780286,6.4038623346139145,5.500480300215627,6.598353805704202,6.004952447810104,7.149454326034181,6.799978913308723,5.661084302188507,6.358200450617242,8.503786342892438,5.069472487094703,6.221309007926314,6.7911879770180406,4.468678131101399,7.740156676332639,5.666775190955218,6.750406637492003,7.091583139033803,6.339947304153216,4.6725928792050775,8.264193257839443,6.906457244105432,6.215115880326544,4.021032340739988,7.897065253768034,6.009101958346883,6.601736797540463,6.637876684406438,6.669078654592752
YBR028C,5.9606307402472725,6.3506822707894734,4.273469125837649,7.509522496808888,4.389610999823943,6.066071336870532,5.0489829027935835,4.745030020868766,7.478647288791334,5.8164103160512886,5.331505884009358,8.928061728949055,6.012432541819937,6.122566791749098,7.33205057921517,5.779180361067928,7.670241974084715,6.1814952435188655,5.716562314147472,6.7497075652290475,8.448082386467378,5.802408162003127,6.938421068192687,8.1246098034691,5.3430349017003005,7.8837504531786875,4.898416482642322,7.319890222078548,7.053453316766841,6.1932688078547145,4.115560698051353,8.012693212663384,6.947165511989119,6.025288848435161,5.232292213149352,8.77229755203182,6.6118187551867535,5.104635389599364,5.9469221368125735,7.369612481187168
YBR059C,3.830268889348044,5.949732306040745,4.8658951025373485,7.457903019211822,4.177720111064558,5.257803569871892,6.398433153645468,5.367914198589499,6.678561030216935,6.556112436719352,6.3999841670265205,8.608161885794331,6.145307658248623,5.804604490930952,7.641250390261487,5.163647731573832,7.909783844801497,8.10831203997631,6.639791497848594,6.328428590787143,7.883145524421293,6.516201662604054,5.952232979540707,7.425218322724508,6.356170176160972,7.821212680855802,6.465560989639612,7.625184073962853,7.227020182280843,6.246023700446358,6.124687085558333,8.672201028508763,5.724288368696327,6.232066980714791,4.7457817647978775,6.513639207034527,6.542014546362102,7.459991906468628,6.556777351454784,7.566876330209628
YBR097W,4.790504132149363,6.594852802246503,4.921621819856822,7.969406563981727,3.352071002509061,5.562448918573476,5.186340538574148,4.723636612549956,7.636487371568929,5.7169098322596685,5.656723387952088,9.16063870473507,6.555128247964215,5.729937130603122,7.218141327547584,6.447400209465144,7.464172205744813,6.4650116783944425,6.290683261259988,6.7773689416300495,8.622506043189826,5.7800140822433805,6.379370274853428,7.821478387908675,5.3225208284772325,8.072076802531244,5.877348445363947,7.2975024018692825,7.345750053180285,5.969772878148216,4.7020157670259835,8.027469404730368,6.994001305217723,6.0295651056353865,4.532104490094857,8.351724557515311,6.799058458061754,6.789893997789531,6.002680008539446,7.115349474017725
YBR274W,5.680016218460213,6.4283185485658105,4.55430876353754,7.69570540892388,3.924187966823098,6.074856962424563,5.13308822967948,4.791489597918495,7.414293499596745,5.522820229147835,5.308543108790003,9.506613874938665,6.465751548754952,6.10657134516776,7.229203162251425,6.114046399395294,7.495697007824979,6.390260684663786,5.6399947862208935,6.471535909664378,8.567611936566845,5.772797124606563,7.233877969040042,8.023422921059543,5.0234020776614985,8.134129780666031,4.935284970370296,6.969764632921637,6.8638981037861315,6.576876517093284,5.0247709400761496,8.257752177717611,6.981183275773303,6.4607084736075855,4.92767382777618,8.583522548672782,7.0189873244080445,5.017210031608213,6.25091793869874,7.248519416344192
YCL024W,3.9010488173307927,6.529587685290643,4.386607305380567,6.999855873194478,3.668776576934867,5.8761331119689935,5.261757616924077,4.468813547444499,7.409329794524453,4.892323639859441,5.84528107485666,9.059231934303382,6.0854731440678025,5.518650165950977,6.843715186001911,6.303266838257053,7.0385138937028024,6.644693883645928,6.032140626062825,6.352498801575019,8.363622557460557,5.146423318674984,5.89837938679879,6.612825192634249,5.101100159305418,7.933605647865982,5.734822220356133,6.574109959513593,7.1093187914349985,6.517756708649235,4.494122553075679,8.063004407812674,6.661851983581773,6.235554522557586,4.173332252078725,7.921534533614015,6.5274137763282765,6.3838732389235675,6.440639998959978,6.708565274591807
YCR073C,4.725770757880558,6.674432011607642,4.423451281747516,7.294124047981706,4.275811565482785,6.250926502812513,4.8909386456530966,4.644214488943812,7.503211248462286,5.787256975501497,6.024291301624719,9.3400562490926,6.093904286454952,5.773131992314387,6.890140576670091,6.175873430662048,7.355960966021348,6.3318899204292265,5.901357526007534,6.3338751227336045,8.490582518544247,5.7472701958676815,6.5619625737095175,7.190835481520718,5.9947931278181565,7.9022654912753465,5.072438568763761,6.8703094035311425,7.074535604330473,6.2084211527477695,5.191936609490291,8.202178847447353,6.6537210974543575,6.360369530321517,4.366606016398488,8.8793924519976,6.7239402157905594,5.291141554001007,6.359617815547846,7.117236737440168
YDL025C,6.246627826941217,6.360872937533188,4.440056237478844,7.68736205033106,4.047274875441989,6.069972240890071,5.181585785215487,4.884484312296299,7.441004513338534,5.792435241782246,4.833591805834804,9.061592741661439,6.473102145526714,6.348752493714912,7.479413659292416,6.148123842977438,7.705065957945028,6.2183483869827505,5.627276453488563,6.6820560992929465,8.47235140036258,6.001804644018028,7.2830327983676275,8.4033566941951,4.92521650963802,8.042836045722831,4.675616004261921,7.291195323601171,7.03893469188516,6.316435202054281,4.679672930891293,8.2011610783313,6.773923555946982,6.1324002024087765,5.310636015003994,8.475722063744982,6.73512702988325,5.129110358660834,5.893828910791018,7.367646938086184
YDL079C,5.317975196083119,6.333381572347287,4.275245844113536,7.3612970188836595,4.474187935320408,6.171297216418076,5.087253307539718,4.560686873871669,7.5663343035470625,5.647090631443755,5.480120444357611,8.938686483129787,6.407767862742201,5.998349909471477,7.131199210179702,5.9408203713859775,7.5424418871594785,6.251869709179496,5.961018054260813,6.5002319131918735,8.43762067120478,5.869651006684169,6.51102932194725,7.9950814108760975,5.8650813222004405,7.872114207790814,5.3396171979847615,7.123792494273165,7.163159927051593,5.923012753996076,4.624153807133967,8.04150875954717,6.7336696375802445,6.0662080748532885,4.754327523550721,8.88858868348601,6.6180153411188005,6.048426207967832,5.946768098655485,7.228312375654209
YDL159W,5.098424987672403,6.335266798301574,4.20705939122465,7.604712625075326,4.296482254613894,6.755719641322415,5.3237698014077806,4.630500260028237,7.761817027926406,5.4722351719838365,5.780222330951713,8.637851829334668,6.295804373587209,6.2244209888092685,7.324785354625361,6.337346292658836,7.528284422409638,6.5176043239653545,5.912373339806626,6.63317186679639,8.664463989850331,5.732587619894133,6.2311443172989405,7.742301370415709,5.563984674631207,8.183664274887803,5.493735625075751,7.008237717044945,7.3043005463716515,6.4091035095637885,4.5683890640284,8.145409899018723,6.786120131223487,5.972641673755237,4.751415895355128,7.990247787377366,6.499057106888762,5.7964952146288,6.267963563491236,7.0950936842497505
YDL214C,5.661839414991705,6.21472860254513,4.234854183100744,7.4839957895708125,4.49840097826914,6.311017204835631,5.2974270828074195,4.291786348681171,7.623455891984411,5.5807626281037,5.544290579337282,8.94253452755193,5.977397128459088,6.126454825865644,7.0574538257076815,6.280452413087406,7.619752537653338,6.329625207545849,5.990824058341622,6.678655376005518,8.473611950647928,5.774091128430525,6.988574668282015,7.889102527071228,6.298293080142156,7.7893459584134135,5.211840485498773,7.2586122309091925,7.2970265622827934,5.9699333582928,4.135119222654174,7.955390488359141,6.930589846059807,5.747661818529908,4.7981047575705285,8.849040435942598,6.734644262200545,5.919925988137566,6.209163847754427,7.172822283080684
YDR122W,4.438027778537607,6.412952575162508,4.437691150426661,7.054456337986361,4.196395317302563,5.778661766766919,5.425616383132894,4.760002840541016,7.386580277068798,5.434176557288781,5.7013123611474095,8.927575798152944,6.265602189779737,5.676794079153327,6.859329039939495,6.276481285190814,7.168022486994888,6.556339923237437,6.056621735025635,6.639211911367218,8.411173008671541,5.213885723895693,6.223919292576027,6.936391453840585,5.067411180040602,7.834833599601139,5.689331929385892,6.599720761225416,7.293637063614041,6.540777583625482,4.686475660679196,7.996302129358963,6.471840831596174,6.03655998015062,4.4895711235252636,7.862963696501438,6.569088692135806,6.5327641815517925,6.531863411182418,6.847889239467455
YDR247W,4.45257687672186,6.328985454812223,4.730418968977563,7.1207685541070855,4.092725292910732,5.890459797785268,5.064985073048127,4.522348319316654,7.6447092853784415,5.3778275923452155,5.8382385627042765,9.015002508041741,6.4543960139280045,5.51574659405938,7.0860137160528485,6.307768800006869,7.255328423814614,6.690651032661019,5.894633993656901,6.3180492490076325,8.378217662887918,5.2840761196573975,5.948159154345713,7.0360472689435705,5.356643863840325,7.842006379405871,5.686623673919923,6.978794279921732,7.161076513628899,6.726774242680861,4.583084709511853,8.301292962486452,6.973135832444915,6.012976164798352,4.393450025087684,7.898658694118081,6.498953488877975,6.369024249374287,6.363239110148259,6.7802037545227005
YDR283C,5.823036894641478,6.340986658936669,4.032729503656986,7.565563889595362,4.575421641573191,5.949507522667536,5.067761241874754,4.940803513719488,7.63361292895854,6.000940915956278,5.1601542053210405,8.836862954716224,6.46173741029926,6.0365577907598365,7.4186345334477695,6.131350616706477,7.68747732973984,6.284361745903503,5.985685222042467,6.729295559981878,8.592457488849139,5.7206710579427416,6.191084388664597,7.865310222761546,5.846712375241702,7.833584671294987,5.438948030920507,7.0935495231012435,7.190264782532601,6.0979745455494285,4.430857000745847,8.123682513860155,6.745170009489215,5.907300311223098,5.037166975134553,8.325562679183319,6.550064300329843,5.749604348543444,5.873488814124019,7.161079945792947
YDR466W,3.363503170026612,6.383373308336768,4.468622046779282,7.397072364427563,4.095853815025094,6.180703316392761,5.270794205460347,4.864647870928604,7.054210211653428,6.083691969079553,6.059627054962473,8.993194123567081,6.0518229429718104,5.704238047879733,7.287243118194383,6.092689846467969,7.62608869825636,6.250378840501933,6.310609642074912,6.516288648717184,8.44127188173227,5.8673565868800415,5.39846534057829,7.261661772590427,5.282831761953829,7.8108340910094105,6.190719208631911,7.2031014981522175,7.2541431218140335,6.1951799858735574,5.172664694094888,8.569379278410779,5.965601355883802,6.29874571158201,4.552717414282922,7.791335118180269,6.396800424676982,7.087303789293925,6.292574462925532,7.2041577236050225
YDR477W,5.911940657168655,6.3176173541308085,4.383562252928629,7.623736657454983,4.4562969201172375,5.949551358659929,5.132281294440369,4.9255853054200855,7.519101408736786,5.8765186482107366,4.909263921426125,9.042753388800808,6.49195344492888,6.307689510509237,7.441859339644099,6.162244817137243,7.5392013851719915,5.95879078232141,5.663642674131175,6.777867629843088,8.528935934262105,5.927041343018964,6.8673392325344835,7.973406745192066,5.2822625026483365,8.005672166133971,5.482265181500996,7.358516270362191,7.05420654263103,6.901362643371487,4.8499032757949685,8.245405875138518,6.7317491409063575,6.089437987925487,5.227355124144078,8.510094198393071,6.5866232926165535,5.454689783924448,6.0100122810452055,7.306816730907477
YDR490C,4.345594146050444,6.508758487674418,4.641065043553789,6.998631955536914,4.04897100176072,5.743870880735702,5.063589689236565,4.981405453338784,7.3645231900955395,5.74051988411652,5.620219775599729,9.017864182830404,6.334962491557425,5.760272491205517,6.986795106224974,6.2781352806998,7.254829701365957,6.512366350649807,6.033141606465316,6.2388167020969565,8.272645685379468,5.5230616840246665,5.915454428780345,7.293761733411513,5.1199047791787065,7.8294327534295425,5.774600888281005,6.872062091789973,7.053648029759704,6.652545594644966,5.07462361774167,8.069274119242921,6.5312187031910565,6.25506773471969,4.719983883450759,7.926055283268679,6.432182995999353,6.711633508285004,6.3287743346195935,7.037429086819588
YDR523C,4.960688562382381,6.457329461331828,4.266829594988367,7.474754682331902,3.82023582929488,5.7072770687936325,5.302539118484307,4.703000241290574,7.645555073884035,5.544705950832083,5.788507973332534,8.602975176643225,6.417103421055738,5.905899192493662,7.1760668246618255,6.151501269424576,7.365699611175701,6.349630012106338,6.107743548489168,6.667705376230303,8.380529907581593,5.642222580964751,6.5347363589323875,7.611354746824577,4.842071248674253,7.832095998055188,5.49157949265079,7.118008240771857,7.311150967127618,6.260072355703706,4.710122785202091,8.170621751232039,6.658984114424504,5.907435261921059,4.5802796927383485,8.049304848145796,6.469134434506497,6.5426504024996746,6.416838257323589,6.7185360755681085
YER129W,4.143052909614882,6.391723809124002,4.66490380614857,7.129469984203492,4.105139260910797,6.424737876127953,5.230469519113601,4.89555011785118,7.5252148603887905,5.717845642224704,5.7395788925273,9.236929138566543,6.480350286783072,5.681398345650577,6.861802579881522,6.307807985748839,7.09929968905422,6.255961033672812,6.020434275992117,6.426229794529847,8.488864756051488,5.586992538288862,6.346977005889293,6.685024091475118,5.6360213058045305,7.879798014671005,5.175692172017847,6.8960424941736544,7.0732603208511415,6.45568626167062,5.0929664800197925,8.238207825303139,6.475857313141629,6.2910970826553045,4.132233517952505,8.605145264682426,6.871119423655532,5.778933789837108,6.341249670391392,7.014403016828116
YFL033C,5.344555008597921,6.698299168187997,4.374023531312061,7.511950656326087,3.863646689082306,5.831889245821992,5.0890314909116965,4.703943664777488,7.536375426805942,5.762191545895598,5.4344463623682335,9.216107331130573,6.407353429756224,6.072633356156268,7.178085872114037,6.153574236311692,7.588395154048126,5.967829617144256,5.879865937695981,6.503239493314941,8.27760083518026,5.828490056204507,6.598232700482424,8.010871724856486,5.184437514459497,7.930943357252198,5.458716089737647,7.198922512407187,7.141181734492573,6.161212157464672,4.524641210399202,8.11243352159787,6.544457596636231,6.024989534920543,4.483193350085024,8.187675298434819,6.609150844887321,5.642173656684522,6.047189227037324,7.1341060197820925
YFR014C,4.45757612273824,6.5995404092921675,4.284771449654195,7.196980306292268,3.4969599562570446,5.862277058414301,5.3909803650381445,4.79559653183001,7.487019192975159,5.283603038843463,5.904056620522724,8.928481573910439,6.554139976632534,5.7851041735182855,6.689053020475018,6.605238908487742,7.175367444174782,6.697699334800527,5.828087077585349,6.6212122568389296,8.639165609994897,5.527632237836992,6.232072052803633,6.606926325530024,5.161013924285812,7.842420222033947,5.687887943415643,6.367179673549818,7.235124742687257,6.420119439293456,4.987511092846381,8.053162127995787,6.810424317767605,6.214201871906469,3.9942243973660374,7.933164782953737,6.798426207902643,5.7285186862458275,6.446057823886938,6.638311273478763
YGL021W,3.8429413220048634,6.4520576271447405,4.688562677798492,6.911701264107357,3.611340196696993,6.139147819622303,4.975426725034897,4.815535311465854,7.207810361907144,5.508933503618198,5.905159564144462,9.095275975563029,6.510029959736309,5.33428772785339,6.66104193629695,6.687744190583597,6.909257234889402,6.642808808169089,6.0561672497021055,6.465050770423738,8.323847921650987,5.478749128144917,5.456890595609221,6.1138135866724275,5.44205511623882,7.640051479047632,5.996843129814861,6.5092750995064605,7.186724554608206,6.513102761584556,5.084694731072037,8.28614604623948,6.556017887101356,6.1963335745160695,3.767142505617938,8.200948947313467,6.336546783674853,6.467117443497076,6.547647161852119,6.583084123492175
YGL083W,3.959276065907007,6.4172301099701485,4.376083226720636,7.051562023227596,3.3313430068584564,5.746627609471616,4.987176034550292,4.7065859849118015,7.577828639627121,5.190271066962349,6.002563353861675,8.863084848719483,6.422574883798274,5.6358432179647995,6.755842313152544,6.64506508847392,7.177449249717572,6.694052434367397,5.880247145996725,6.5246026646366655,8.460961020952624,5.331321820598379,5.835762009702629,6.416425751154827,4.907271450176493,7.806314978425214,5.663783251839335,6.547627271073762,7.235688292523129,6.435921483127003,4.630264033899802,8.186956805965169,6.819672467996639,6.003948113435383,3.7744062243906975,8.03186060680458,6.5468316805787135,6.065563501796002,6.518307192851777,6.635040882542263
YGL119W,4.25236598439135,6.501402628993271,4.522966015491091,7.26660208692658,3.623452104842877,5.780373010599942,4.979764024317476,4.941751175678399,7.383817063305148,5.718776116607118,5.599500042722851,9.266367184838849,6.2538399406184055,5.586978792342753,6.894420281435738,6.2501350082877645,7.185344624765811,6.409807836209077,5.9596255263351035,6.636129503471395,8.201735236846266,5.4751114420751525,6.1190199321771015,6.742575763433164,4.9296965614938175,7.847610494393887,5.6076332097859884,6.9066924202620985,7.287491106416271,6.25291794862697,5.058239596580337,8.30034192187454,6.5416716656009495,6.175727714063027,4.368269795578545,8.076198717126688,6.516914494367436,6.6420169585068605,6.209922496209479,6.896968187721965
YGL158W,5.762265343822517,6.343501374021437,4.181123659435431,7.6462886647687744,4.647077841293755,5.928828107038022,5.11555580953214,4.9160995195517785,7.634639830771308,6.00167186243233,4.786970195646705,8.930833058381465,6.401981411965176,6.133484752781111,7.35325120472022,6.150662320192473,7.675622137421267,6.221397854262928,5.7761994989122245,6.71726239524526,8.640860787758529,5.7824158185700885,6.75680495782431,7.772663107533455,5.6230976065991785,7.91864947243304,5.49205429640456,7.042862050409482,7.2507883604628205,6.3858991967081655,4.612991340013838,8.188207200520054,6.661237836636612,6.036918869003262,4.945644775564066,8.315051415718456,6.638321680009017,5.304436711832118,5.91564966963754,7.271363791455742
YGL179C,4.672831735402181,6.60339570807523,4.49637505937556,7.147792511674129,4.001728443502935,5.884024117371359,5.030828062026169,4.9038742527364265,7.416535325698093,5.753702787406037,5.56627579364508,9.106434102013019,6.469435551396874,5.758888640530349,7.1310911256128575,6.296429210466383,7.2451309500310055,6.3469068603214325,5.830293228657303,6.539085724247793,8.341849730907255,5.553024885283551,6.3646332343574255,7.338840162977324,5.1849229637615135,7.823743558799875,5.64517784179739,6.9513508432647155,7.122767760978005,6.5099305892399855,4.9556340212700585,8.131220484468987,6.612668911531599,6.132672338483639,4.721383591752813,8.121086853611171,6.539762472696222,5.9820635722906825,6.188317072646548,6.931494473258902
