,YBR085C-A,YBR106W,YBR126C,YCL009C,YDL130W,YDL171C,YDR002W,YDR019C,YDR427W,YER006W,YER012W,YGL087C,YGR034W,YGR155W,YGR175C,YGR254W,YHR174W,YJL012C,YJL020C,YJL158C,YJL167W,YJL217W,YJR070C,YJR109C,YKL145W,YLR197W,YLR344W,YML004C,YML092C,YMR091C,YMR131C,YMR315W,YNL231C,YNL255C,YNL287W,YOL139C,YOL154W,YOR074C,YOR209C,YOR259C
WT,4.211865649492344,5.383725659108419,7.6762227905353075,7.434492758675585,6.894372496975365,7.420051509892036,6.403806241078997,7.0853113520803745,4.7490880325892375,4.8892977157294695,5.954519135711561,3.8068307406750233,6.65006133865454,7.554130313336338,5.724591608751174,9.96212862226222,10.344485437658246,4.839960166762384,5.610960034437251,5.0379371752851805,5.088703671684237,5.638003261227246,5.434948293498132,7.035200062159108,6.009579128684599,6.884547619559026,5.891313147330681,4.90526568862421,5.39588568412441,5.063663894118163,3.9605790996985695,3.5673282100344283,5.426749027363731,2.779836971429736,5.80269863489842,7.331801891544617,5.336026677504542,4.749319668816272,5.69667214752161,4.705099637193762
YAL017W,4.2042155172063405,5.419867473084581,7.367281620140308,7.348110518257741,6.34491675933194,7.0002674223679815,6.270616501686794,7.036922482773247,4.9820077129784055,4.865126839476076,6.049043384805263,4.140135072972953,6.536767241408409,7.798379952420762,6.5782934234138475,9.666012711264164,9.885147641840778,5.263328097213866,5.612528347556333,4.226327462558787,5.482324697423211,5.365537160427887,5.228155606529703,7.337518392284338,6.203818782397809,6.95692358495238,5.9709397623321765,4.259081317098022,5.243204040541607,4.986990479690823,3.9933601734663253,3.910539304101916,5.264191701034422,3.3933026738022583,5.522321334582736,6.95703215195088,6.255599251994733,4.719866991915231,5.264623990868643,4.80931985961397
YAR018C,5.044603640682636,4.968507038113985,6.8832327063240495,7.492097944339867,7.276376152080354,7.034583805814003,6.482458684486475,7.2009727154500505,5.169862749791198,5.23169505736696,6.1816184639893255,4.714113004437063,6.172857130656262,7.659143286536338,6.129298905648698,9.666462915590236,10.52176837023766,5.2694033859726135,5.655370933137152,6.874656089690747,5.811312338558277,5.771399270174687,5.805263151779058,7.600249202708973,6.127594228994704,6.887369829400574,5.719504266665152,4.3142734660047255,5.456899296945279,4.9073191671096215,4.328108914668314,4.155543367666797,5.195396154745084,4.053719830515212,5.651336284897284,7.207599530821882,5.832941801590325,4.899356260164706,6.264816367592869,5.387013091511709
YBL016W,4.302802873792537,4.357892760428514,6.823975147756545,7.658992960038407,7.331786784184989,6.623930264132795,7.046474475162437,7.621362950447334,5.023601709674834,5.625694480501314,6.350080077900456,4.634711718980426,5.977876719928345,8.104445221586502,6.2996474298582985,9.454310706238823,10.998290656119213,4.0595947748767545,5.943613748462559,6.256240218585512,5.4184186744621785,5.72899629752214,5.401429981520171,6.724968994082718,5.933776523724606,7.065765735612255,5.473218824515206,4.3494425238949574,5.546932661724149,4.267651720495065,4.9998439437704345,4.035389156378555,5.077265335348064,4.233975378078924,5.6979811187158935,6.952988708587568,6.17095506627112,4.559004203240779,5.800534234166367,5.128873876633309
YBL088C,4.628696257713886,5.157176807485853,6.94691972865563,7.331100157252692,7.136000750151245,6.868694742139333,6.807838555371117,7.280504456059033,4.657968094607706,5.251105336190999,7.136911503673936,4.495214987329729,6.264060940254253,7.868133523435622,5.618449346701613,9.548443294739608,10.674008619508207,4.921113359372141,5.502835684375767,4.798589009446812,5.604795837456791,5.662404023583631,4.990178331816278,6.9198026056393775,6.031851374240112,7.001664240403187,5.669046788344711,4.349143592743777,5.8118234109699705,4.9932354255285585,4.36142146397885,4.774990672485653,4.997482604089429,3.853150412026747,5.553607888590304,7.207690916028953,7.406454747402543,4.085574743007562,5.683343067481082,5.2901721902175805
YBR028C,3.6004089598244384,5.390545952183373,6.707138160151468,7.722582402315752,6.357434910957428,7.6407807259868274,6.115678400976777,7.080858513147383,4.582556436308106,4.8500526478814265,5.9818950306319465,3.820108635276663,6.498666276546441,7.793655919880098,5.102746362620478,9.469115724645873,10.479216753786504,5.1094689744179504,5.238476778781589,3.578817988032862,5.113084800449609,5.93555049772316,5.288032560094607,7.095570535257101,5.860913059895459,6.704321792760228,5.853039536660714,4.230739222768185,5.006911931998987,4.854593721314229,4.071807664162375,4.320076516587282,5.093538984183937,3.7374106480984186,4.9489646667935085,6.9556445074205175,6.876598855979557,4.724562315373079,5.2478338915067235,4.7623304343643795
YBR059C,5.496980581057085,6.059958900055097,6.700506184012537,7.867736212939946,7.82929663349188,7.6913439988119165,6.595470908812838,7.428691759586402,4.04711299704075,5.343360589289909,5.87228564087088,5.647601928387381,6.480793048360425,8.290705530668362,6.333966538366018,10.263481890591802,10.92125846568072,6.461701903198576,6.599223979746673,7.2627948916785074,5.249805769293059,4.829714858431259,6.275558825842088,7.043084304870411,6.813008849960602,7.379825163843988,5.698777318546197,4.68535253399633,5.763849541690856,5.449027270387954,4.417161660184147,4.351535204151733,5.7184113222017245,3.486487579763696,6.01131943837217,8.391327583483887,6.006372238849886,5.08457212122492,5.9233028085712425,5.066238980738318
YBR097W,4.855708899097992,4.758078308474791,7.2177388231885065,8.469591945143893,6.88516774321316,7.825373254648444,6.362441611981366,7.198111559968963,4.767175366326162,5.382323889153078,6.035793959948281,5.154302998374821,5.9780984745119445,7.603243961579305,5.167688312033913,9.077147299015813,9.647116196722934,4.348913429463548,6.114477542561206,6.832278516596303,5.7692380144970175,7.197455281535423,5.535170662348255,7.361169689977268,5.727749393906438,6.712220025919489,5.173036119338368,4.7556679582466534,5.4879657888351705,4.912126701487081,4.424904009117187,5.2310173541025415,4.9671113728632506,3.4322644856520306,5.717788867376348,6.886169770651865,3.916601374193592,4.481746206412773,6.486655538431747,4.857299546404214
YBR274W,3.691560227946341,5.235335194227805,7.085357580361102,7.471239556047079,4.808108469293874,7.494621093749743,5.886420620839553,7.2515932252548385,4.645150202451499,4.228634006114723,5.844312818822671,3.1679062249266847,6.759142713568293,8.051174850604626,5.755999107399963,9.888646002116216,10.255591643904962,5.101533045573438,5.719885497033035,3.2867493288668506,4.5947876673647885,5.488411459359814,4.902304785020359,6.509237253501756,5.934697013191755,7.017262317370544,5.9692949550712155,2.960109800518162,4.848857775685623,5.182857533707171,4.089416466019614,4.085707613135206,5.120817454827723,4.0212976234931235,4.867815983611157,7.102901784112098,6.307989074077712,4.851066824159537,4.843435192381317,4.666722147115385
YCL024W,4.916159716648483,4.347441960948901,6.585195971034996,7.722491855239722,6.833502854740013,6.49147388952912,6.65459261901415,7.1842207112857865,4.867440555802432,5.5937779397028935,6.243220894261228,4.986467457044034,6.359076784141883,7.78098611209368,5.9933906157805374,9.606177846437024,10.67428194517851,5.495333913372432,5.239092831088569,5.887640753072372,5.501565997559143,5.611805025919415,5.5616495795654055,7.1003692834011,6.288383199648597,6.9124535558862625,5.626508579282192,4.117211174598902,5.5215580654591445,5.0408894930525605,4.346779178223924,4.801680302674015,4.918465844799722,4.117835722111548,5.844490772266733,6.967286234310907,6.572254675034548,4.581821684883524,6.061169135895712,5.167967081231293
