,YBL045C,YBL076C,YBR085C-A,YBR177C,YCL009C,YDR298C,YEL071W,YFR053C,YGL087C,YGL255W,YGR034W,YGR148C,YGR175C,YGR205W,YGR210C,YIL043C,YJL178C,YJR109C,YKL085W,YKL145W,YKL216W,YLR075W,YLR179C,YLR216C,YLR249W,YLR292C,YLR325C,YML078W,YMR110C,YMR131C,YMR215W,YMR309C,YNL231C,YNL255C,YOR095C,YOR222W,YOR285W,YPL143W,YPL262W,YPR163C
WT,7.476311982102783,7.2003625599395455,4.211865649492344,6.191365535211912,7.434492758675585,5.951800302633082,7.612091163604411,7.619627538478098,3.8068307406750233,5.162048615725939,6.65006133865454,6.1246098730902405,5.724591608751174,4.695633869906873,4.045385992098123,5.015579991606431,4.909890244649198,7.035200062159108,7.301120189566458,6.009579128684599,5.9587438015214405,8.652209889793468,7.6469181314262515,5.198136300274184,8.87593101160889,4.219860745824607,9.398597755736716,6.557508438473133,4.046409628305266,3.9605790996985695,4.905400534492278,6.302332587654242,5.426749027363731,2.779836971429736,4.572251531690691,6.049926001151282,6.08797835368012,4.04192349574829,7.025441000880322,6.6170360976385725
YAL017W,7.287496717633171,6.962137028889155,4.2042155172063405,6.0563454787935935,7.348110518257741,5.46565726025157,8.250296030045327,7.219202292388173,4.140135072972953,5.445681416595202,6.536767241408409,6.06638093617716,6.5782934234138475,4.655479476205639,4.308469309366765,5.06788029430939,4.7502183634937065,7.337518392284338,6.981291676997023,6.203818782397809,6.11670249784696,8.411567672752174,7.602167109360628,5.1314546165077015,8.80111050874515,4.2067832744091085,8.320585906278469,6.339593456575682,3.8755369504910453,3.9933601734663253,4.72935413508287,6.354456833962617,5.264191701034422,3.3933026738022583,4.680985183559157,5.898081009230863,6.386703160139228,5.411679753631983,6.845798453494072,6.557296537326846
YAR018C,7.041088616460514,6.724848907658344,5.044603640682636,5.495703494320966,7.492097944339867,5.679630056680063,8.19812509301662,6.237162110464853,4.714113004437063,4.7329000467293065,6.172857130656262,6.263623016571077,6.129298905648698,4.345822081915334,4.50440736528455,5.749915535557142,4.0871501168473605,7.600249202708973,6.916409527450129,6.127594228994704,6.190045199685169,8.27954239161,7.546387199177978,4.996596906077194,8.550392487353585,3.588136253591654,8.690696107330123,6.637204109428585,4.086916937702214,4.328108914668314,4.2019902990038505,5.962159443029067,5.195396154745084,4.053719830515212,4.394546794396098,5.599509465603851,6.780016346098293,4.955011560772472,7.137919873847261,6.254297239776121
YBL016W,6.823067349808923,6.991440178587028,4.302802873792537,5.015558597695165,7.658992960038407,4.333823217547471,8.128455896637407,5.799714079502474,4.634711718980426,4.991371584163508,5.977876719928345,6.633104536146318,6.2996474298582985,4.37385008193834,4.938007069961152,6.004285383205727,3.813645038426685,6.724968994082718,6.7189592512985765,5.933776523724606,4.974208917379238,8.810968141435678,7.511297361198343,4.07832467428117,7.961056615290516,5.483633403884609,7.785108041094271,6.360756507598298,3.365586380882545,4.9998439437704345,3.437561880789941,5.6181068036434665,5.077265335348064,4.233975378078924,6.183469236570866,5.641930185966758,6.5679765002330495,4.837253626370098,6.8973134809930885,6.169977924985614
YBL088C,6.93333633235754,6.4508626097298505,4.628696257713886,5.6090080736609815,7.331100157252692,5.266011714426248,7.962552662041714,6.757765511989229,4.495214987329729,4.683169706549276,6.264060940254253,6.004952447810104,5.618449346701613,4.40703337043834,4.770269711653613,5.586766900285134,4.692637381788949,6.9198026056393775,6.6819104805480025,6.031851374240112,6.116894199049371,8.651034342649991,7.811233773449072,4.361701334014276,8.406723003392976,5.082127150411755,8.394531132385696,6.332251499144507,4.28739518121412,4.36142146397885,4.513735622562528,5.913461588029821,4.997482604089429,3.853150412026747,3.9864557679085015,5.642356809822072,6.601736797540463,4.987452540514967,6.6751331841676835,6.5512728802731335
YBR028C,6.833134752426507,6.9952601636615075,3.6004089598244384,5.56333152077942,7.722582402315752,5.094051434067657,8.06569247472,5.8282165908635255,3.820108635276663,6.5221991751453565,6.498666276546441,5.779180361067928,5.102746362620478,4.631223120768999,3.575494374191447,5.106848730172806,4.677836863736013,7.095570535257101,6.404302245283531,5.860913059895459,6.005793758136691,8.633770826269858,7.809341103970107,4.759004259179753,8.974800433335432,4.624775441691793,9.525959303225095,6.290636548715132,3.8892200497197886,4.071807664162375,4.422945410419112,6.132632228056076,5.093538984183937,3.7374106480984186,4.5342502278519055,5.968589488486584,5.104635389599364,4.414936037479814,6.718094085279598,6.415036357546183
YBR059C,6.870950933738032,7.193264424798801,5.496980581057085,6.180852048957457,7.867736212939946,7.081813554002157,7.909649082056206,8.244181019068025,5.647601928387381,5.103566704451317,6.480793048360425,5.163647731573832,6.333966538366018,5.399061306474026,4.937612275752995,5.002975546942858,5.63181354546118,7.043084304870411,8.166967241693394,6.813008849960602,6.55331490862365,8.738551130030796,9.075682014139248,6.270615038953324,8.89302020768441,5.389249463573114,9.69170948095899,7.4659979145226325,5.933420057477553,4.417161660184147,6.0591951157256725,5.682506356833358,5.7184113222017245,3.486487579763696,4.940022973238249,5.222312164811246,7.459991906468628,4.519848060156176,7.71888303598941,7.364514907392483
YBR097W,7.279032161242819,6.835708290142951,4.855708899097992,5.7168728731734255,8.469591945143893,5.374553568503604,7.6898030832840885,6.813936242415662,5.154302998374821,5.357868315922231,5.9780984745119445,6.447400209465144,5.167688312033913,4.5060457838372034,4.823190260109112,5.82339713909342,4.923645549502007,7.361169689977268,6.986070765529068,5.727749393906438,5.868937868755418,8.031659632082349,7.766059591419972,4.8072508147489685,8.699143612353222,4.771589714659993,8.151586301040632,6.753045030805849,3.961365567406676,4.424904009117187,4.416166357091574,5.9828907490434124,4.9671113728632506,3.4322644856520306,4.005424940250669,5.858507977306516,6.789893997789531,4.2750155598246495,6.791571665112191,6.47462248998558
YBR274W,7.472458099006787,6.651510325825512,3.691560227946341,5.873860825811209,7.471239556047079,5.3677453125520875,8.107510308505262,6.221398891558566,3.1679062249266847,5.374709629691537,6.759142713568293,6.114046399395294,5.755999107399963,4.423322418819433,2.9810789884317797,4.188088324989809,4.924530010298177,6.509237253501756,6.875048058168629,5.934697013191755,6.035625232318778,8.756468734825354,7.8654454933343265,4.949954852448232,8.995867568085297,5.094464989245823,9.455343597749632,6.708613163761924,4.517157005758136,4.089416466019614,4.595021810721377,6.379427604944638,5.120817454827723,4.0212976234931235,4.4097889561622985,6.043225831039723,5.017210031608213,4.9012108700796535,6.939156292076096,6.650572459300179
YCL024W,7.006965889217581,6.1668864963714425,4.916159716648483,5.713958686180563,7.722491855239722,5.477555014526859,8.471631257084635,6.5020363994341634,4.986467457044034,4.486312818038543,6.359076784141883,6.303266838257053,5.9933906157805374,4.975678872238129,4.6722459234075755,5.784051290891732,4.782387590665857,7.1003692834011,6.677809960129535,6.288383199648597,6.183764138675526,8.167238868081494,7.724669267044781,4.700390586662558,8.252890606622934,4.310456622307696,8.129073949036863,6.400627158317133,4.010858608021533,4.346779178223924,4.360458540921529,5.924618743085871,4.918465844799722,4.117835722111548,4.216003784832971,5.798710325281644,6.3838732389235675,4.994237298701597,6.931834042055402,6.529669450119183
