,YBL045C,YBR078W,YBR109C,YDL173W,YDL182W,YDR050C,YDR063W,YDR155C,YDR353W,YDR427W,YEL071W,YER043C,YER052C,YFR010W,YFR030W,YGL048C,YGL206C,YGR175C,YGR204W,YGR231C,YGR254W,YHR042W,YHR174W,YJL012C,YJL066C,YJL167W,YJL200C,YJL217W,YJR016C,YJR065C,YLR441C,YMR099C,YMR120C,YMR229C,YNL134C,YNL135C,YNL248C,YOL030W,YOR099W,YPL143W
WT,7.476311982102783,7.8602365588316765,4.051245584981221,4.5985368362379475,7.941930021622534,9.721356302266644,5.187751380077305,7.940385995191293,7.165399391670788,4.7490880325892375,7.612091163604411,8.432011759601936,6.583490605202958,3.5627955957750617,6.16373677504038,5.703548841689107,4.723962132471302,5.724591608751174,8.052064908906933,5.7787491584354616,9.96212862226222,6.4409699297630505,10.344485437658246,4.839960166762384,4.021186011562747,5.088703671684237,7.419321985311312,5.638003261227246,7.93532395601324,6.221457058109609,7.599372594648553,5.538449410778101,7.974843521632295,4.796013127575742,5.33632431527157,8.730428342242032,4.257085171293077,4.911145603947332,5.6637318097221705,4.04192349574829
YAL017W,7.287496717633171,7.998569136232552,3.991384520474796,4.7104565679042425,7.9764724464095655,9.661490256249474,5.25176596879657,7.630946479930498,7.1221085184483774,4.9820077129784055,8.250296030045327,8.410903702387785,6.613203059839143,3.9259906645440616,6.240273703444631,5.952111805643892,4.690693111366022,6.5782934234138475,8.026310890145245,5.61801425656501,9.666012711264164,6.431404013232068,9.885147641840778,5.263328097213866,3.6464507992541706,5.482324697423211,7.466529974225741,5.365537160427887,7.921544288285644,6.0341572031811115,7.49949269825165,5.564979984029995,8.135725968732588,5.057550121722478,6.038495135878438,8.706895008374241,4.160223762676356,4.877416616326468,5.461585239362229,5.411679753631983
YAR018C,7.041088616460514,7.973923344991543,4.5716684410285335,4.590724717183994,7.932454747687503,9.62322266928226,5.112559447528307,7.775078988930668,7.514211985888555,5.169862749791198,8.19812509301662,8.500588155530338,6.577014855488351,3.348401567005168,6.673625162303816,5.980479991568204,4.974813642004099,6.129298905648698,8.075524958664031,5.650977067894218,9.666462915590236,6.515094736764059,10.52176837023766,5.2694033859726135,3.3662799640133008,5.811312338558277,7.490474350280605,5.771399270174687,7.749806343205246,6.173496107213852,6.934860185234152,5.821290159381733,8.169251916108246,4.6166449835307155,6.249799479205465,8.768094752643513,3.98884812321692,4.989225227722479,5.447013107607853,4.955011560772472
YBL016W,6.823067349808923,7.693269208597746,4.4456874888986215,5.107766118217755,8.112071408888463,8.926982894481425,5.101528820159077,8.03151178506328,7.747129471042157,5.023601709674834,8.128455896637407,8.615178810119799,6.353212037769402,5.6427951533949505,5.756302946628847,5.245569988662737,3.552786178094334,6.2996474298582985,8.224409613359619,6.0505511036294575,9.454310706238823,6.347216176443462,10.998290656119213,4.0595947748767545,4.431498820106507,5.4184186744621785,7.613007483011797,5.72899629752214,7.716662700350789,6.0891471875548175,7.417760977146843,6.049943474208504,8.357458233433968,4.695753717134959,5.9609536518482455,9.299611987499844,4.078760187976527,5.9743165222181975,5.244225285148441,4.837253626370098
YBL088C,6.93333633235754,7.614328094632355,4.3956094045342216,4.482669151912857,7.719023539579093,9.870031910415387,4.873195276907628,8.12097531647875,7.145822500108,4.657968094607706,7.962552662041714,8.508821224677968,6.707739483803391,3.433500300694853,5.516997142789321,5.700631554976881,3.031840954475064,5.618449346701613,7.606354722615137,5.370329712077948,9.548443294739608,6.327523990196915,10.674008619508207,4.921113359372141,4.472069514204351,5.604795837456791,7.063053533358161,5.662404023583631,7.740156676332639,5.833860857207139,7.758403766997491,5.8458380278188935,8.093248266167503,4.021032340739988,5.458425882171736,8.462920028716965,4.002613929587397,4.84210166739526,5.4393609129562055,4.987452540514967
YBR028C,6.833134752426507,7.3801872244361935,4.28489102586137,4.299069183501174,7.950099480332898,9.440843885684377,4.8637953145033865,7.588406749183714,6.835691504903825,4.582556436308106,8.06569247472,8.81800700171595,6.821089678810799,3.3576320646245783,6.375179981949311,5.425361294782285,5.0697371949095,5.102746362620478,8.226110138886018,5.50323630207126,9.469115724645873,6.096989006928591,10.479216753786504,5.1094689744179504,3.811580302668757,5.113084800449609,7.362280280518362,5.93555049772316,7.8837504531786875,5.691359156029399,7.7299538448988,5.4854399930446585,7.816781179418991,5.232292213149352,4.950474663967057,8.637679972684525,4.5769817228961465,4.903813509458588,5.585175875603649,4.414936037479814
YBR059C,6.870950933738032,8.67001082878031,5.2886760319265305,5.3505139649582025,7.621061960936184,9.730464385465897,5.13740674553995,8.862031259116014,7.85154786281021,4.04711299704075,7.909649082056206,7.912511899153178,6.873870041625726,2.4479252777524194,5.9126208404023926,5.6528773059136,3.8085241721550585,6.333966538366018,7.581965920380747,5.1791183281628115,10.263481890591802,6.4516210663489195,10.92125846568072,6.461701903198576,4.749073610798106,5.249805769293059,7.799345109880376,4.829714858431259,7.821212680855802,5.350683578179207,6.3401678054227295,4.5544508193315245,8.30101826795199,4.7457817647978775,6.01412298307536,9.617669855898816,4.912177743705239,5.259954635351534,4.464709063394534,4.519848060156176
YBR097W,7.279032161242819,8.14765695838354,3.5588407966116784,4.5314758045509045,8.190729809783884,9.204506899918432,5.129708235100163,8.30885720804076,7.567981726351223,4.767175366326162,7.6898030832840885,8.748982350044944,6.8095457540505695,3.6383611029754332,6.252974904035544,5.906916662759698,4.787177716557942,5.167688312033913,7.939674785279321,5.815079566520097,9.077147299015813,6.435841035009445,9.647116196722934,4.348913429463548,4.665372582563848,5.7692380144970175,7.399565570795415,7.197455281535423,8.072076802531244,6.276160975309986,7.6337695962232575,5.826507899207902,8.261093422940013,4.532104490094857,5.858143725417987,8.755893801304186,4.077447896736558,4.927835274634337,5.896925065773795,4.2750155598246495
YBR274W,7.472458099006787,7.674902559639312,4.038308868821382,4.685661515108476,8.179560651088718,9.522404193262004,5.128203142979284,7.908799974939675,6.768697624851201,4.645150202451499,8.107510308505262,8.989108112502187,6.783935046840396,4.007945399363823,6.2190625912549296,5.554841249676441,4.637075477242192,5.755999107399963,8.002979613711076,4.386103111991142,9.888646002116216,5.9641320450588395,10.255591643904962,5.101533045573438,4.540323260877286,4.5947876673647885,7.4060096166086415,5.488411459359814,8.134129780666031,6.197525575209394,7.903698006522772,4.995228504045803,7.476962014047898,4.92767382777618,5.449941437864358,8.923926744101035,4.6312169007659145,5.262920349377646,5.70272547606554,4.9012108700796535
YCL024W,7.006965889217581,7.7532309048363315,4.243089485891989,4.634357904716683,8.05787286607314,9.726420293050962,4.9831705661219345,7.585152295383563,7.338882037656585,4.867440555802432,8.471631257084635,8.228200708681701,6.614415052605892,3.6957901655846177,5.932981729950237,6.036391973874553,3.6542570216834704,5.9933906157805374,7.700021858839032,5.4695825836514365,9.606177846437024,6.576548719006048,10.67428194517851,5.495333913372432,4.393949593977529,5.501565997559143,7.326900567115809,5.611805025919415,7.933605647865982,5.940101186078143,7.556594228218605,5.484999918497748,7.854790232535044,4.173332252078725,6.090010374148336,8.792602121508851,4.390580173405358,4.838328805561665,5.466622177910587,4.994237298701597
YCR073C,7.502960735322193,7.690714593873108,4.460982135061638,4.6263026234321325,8.206865026829254,9.838121885276005,5.5393769851577686,7.810118868467286,6.9649246411430665,4.723088338068764,7.972905447730124,8.380311817527799,6.731831468570044,4.667712614029071,5.36752394454366,5.6929702653530265,3.932561661759965,5.462967289948352,7.668066822505418,5.796784751120818,9.856004796760878,6.178794570543653,10.474274509265047,5.392874622896347,4.407667418407079,5.076180020422263,7.2636823585814145,5.541417636445301,7.9022654912753465,6.1897306151080524,8.002400620330015,5.577034281588189,7.232829369269893,4.366606016398488,5.342428226051728,8.560795758829073,4.5092400733674864,4.519988533265519,5.493476613865101,4.523495101073267
YDL025C,7.088741894569893,7.646734736169451,4.322951277487834,4.781632482091135,7.933492354945427,9.723096359039074,5.07533976557894,7.789432646012457,6.957087476921013,4.371489314250084,7.951897423630787,9.003371421093359,6.761242260846645,3.8178352211382207,6.511861308739758,5.536527028823744,5.4529054819294345,5.680988660089893,8.2562225077729,5.007255143997037,9.605279959964786,5.8993677301419165,10.321169372806043,5.5086760956570116,4.106783555061144,4.631912042075896,7.555717187597918,6.12479010077492,8.042836045722831,5.918940157758003,7.631593784446733,5.367042708527452,7.854295127473638,5.310636015003994,5.2434243622545536,8.77256041712675,4.525698628978845,5.34914471282902,5.680737506809153,4.606028835255389
YDL079C,7.22795203196422,7.521439953081808,3.4315100759574726,4.556155803526587,8.029769850033771,9.635284474534453,5.202997658250526,7.967263770923957,7.039271043109379,4.769519372946849,7.9361736221740875,8.724099156943097,6.721879298305888,3.6055453996544338,5.708516360135878,5.591432723790266,4.883680697387602,4.9448210083979,7.978718453463506,5.756419089271784,9.574105201436648,6.364121827495635,10.547825470682724,5.163450497030159,4.240716908543448,5.483209973021376,7.402504667687608,5.438679778864869,7.872114207790814,5.97955232762226,7.807195482256532,5.715044318187081,8.069696636820115,4.754327523550721,5.4247499435782975,8.457986597142659,4.482917174615138,4.692996888355559,5.659026178913658,4.3407842740340365
YDL159W,7.0796255784402815,7.635437395241532,4.2591312072972425,4.783700773370367,8.242812361368593,9.80770432164391,4.7432214742951535,7.735602444503144,7.1908820290145,4.808943119108321,8.775427857865994,8.335480362768454,6.9736830172201705,4.511355692573964,6.264189639174358,5.870752868842969,4.052467915992583,6.612493923911015,8.158828395820118,5.520563629251443,9.779720793672922,6.726433634440467,10.272390379192275,4.9959263914308165,3.9853665100459934,5.498287987816707,7.417041972691694,6.515920170955961,8.183664274887803,6.018893840462531,7.709286237860272,5.869702636420723,8.102343329528079,4.751415895355128,6.178982710070816,8.553588351374247,4.463585234599293,3.728826447298116,5.62061938332996,5.050818727101149
YDL214C,6.831531028584322,7.271032866133296,4.082723205597993,4.281307696305536,7.983449323199368,9.834431822836693,4.744302489600287,7.619130407438184,6.987129512067362,4.443874858400493,8.234560809658806,8.8640961862646,6.88951594958633,3.705246787082469,5.677729892079478,5.660795584927636,4.8499513807244465,4.801416794150897,7.959913377333568,5.623543497274403,9.409360724606453,6.334707027494317,10.66196163010916,5.29438997975369,4.028305078911621,5.4921507399066565,7.508833547597193,5.403277063229108,7.7893459584134135,5.7062542821658,8.038006082565348,5.631720285466086,8.213136576674652,4.7981047575705285,5.34090539472887,8.417666828256182,4.256673825361778,4.297514989840759,5.6271646251043235,4.3779357790394835
YDR122W,6.949032871509362,7.764641344202754,4.454979565979592,4.571981300851983,8.082466843655562,9.744253724906725,5.214944409257108,7.475905228561343,7.431008516443759,5.0755565462103425,8.431852155657232,8.3021702923798,6.617706908667773,3.740635842634938,6.206010217168883,5.958041739256688,3.864649481078695,5.7480821294378925,7.605589768600475,5.595103405597876,9.626867849554746,6.498907180833459,10.549622208789977,5.549439301284477,4.0144921697876415,5.971944987594787,7.29153800920909,5.688936052085048,7.834833599601139,5.95696314970965,7.515576485634275,5.853279132842629,7.897939784669317,4.4895711235252636,6.0967956969083525,8.677209164354524,4.168407590028721,5.124828858034261,5.28799779034497,5.0930577227141605
YDR247W,6.9004727614319075,7.732821720448157,4.230909075771391,4.786461262066456,7.984134128627557,9.669361929243752,5.169657495328437,7.843333506977456,7.2868310501928075,4.717137005886705,8.191008513839378,8.44454460169295,6.742942381803379,4.399955932856409,5.725031924762819,5.95175591879791,3.4647146092723,5.5697774396462485,7.909601872076994,5.457319939596163,9.51574312895331,6.311545950158419,10.82432024003585,5.373930988110905,4.478401132747765,5.689568217314505,7.322899336215638,5.928305673345957,7.842006379405871,6.167036899145932,7.490935121515889,5.708403602518457,8.173279985196194,4.393450025087684,5.447804398209853,8.612630241168532,4.394729700966629,4.732780987506756,5.550016547893401,4.975742536048676
YDR283C,6.939678073138068,7.489787489539204,4.529031502767992,4.5254876220638796,8.00295285311094,9.507861805341332,5.209092389713092,7.719520988569676,7.1077926577506405,5.160035067138393,8.134927263620614,8.61888200131012,6.8549829627733265,4.092028120569719,6.657231978263961,5.684901850089158,4.8524689326629655,5.9738605087991274,8.099262630147994,5.495075141730207,9.521528565375071,6.351365080043345,10.973494330792143,5.673086783020191,3.857688378763647,5.873283839029683,7.547841460152777,5.306556961409584,7.833584671294987,5.92983398058046,7.623174044406968,5.623223536351618,8.425963577367526,5.037166975134553,4.896801325783008,8.522506786330847,4.051461984563973,5.032159806902369,5.447618232275847,4.64563022956777
YDR466W,7.3726215304022995,8.290602820359911,4.501575601054203,4.843007632584159,8.053172914981156,9.93345057256616,5.463505900969023,8.264869981389817,7.521748384811412,5.030911119580722,7.733683951216781,7.88811559782676,6.609851274174424,3.922326531661176,5.68936401042663,5.550980457377267,3.3742911518692824,5.470592138727076,7.802708451614974,5.517362798075087,10.111339909967556,6.7418921520805,10.990019527907483,4.791219256344434,4.371170064956703,5.687314886759893,7.6663560366176835,4.583329861051633,7.8108340910094105,5.687943221019326,7.190061366147393,4.797891063599376,8.119284314550814,4.552717414282922,5.811120654619293,8.951134944875816,4.318723983792629,4.664727506620803,4.874740211730648,4.221980218565506
YDR477W,6.724639906203447,7.698345859630481,4.3125736489587405,4.643118055200534,8.245374445221527,9.28235732260468,5.177844861338262,7.589096392647494,6.914592577651045,5.047138621448932,8.355478052136002,8.728284708882855,6.8900452707552935,4.302154898614739,6.3025357851989305,5.5780830412722775,5.001851618775733,6.899561193137249,8.150535307427043,5.241656249196625,9.315421631165142,6.039364233077348,10.761199518733713,3.5907680149029693,4.02685379732436,5.157134798640858,7.537186491083398,6.0082717546537046,8.005672166133971,5.924053728608313,7.385579374283585,5.2672062350589135,8.108603560250781,5.227355124144078,4.99025183059848,8.670775167033081,3.9549886787970765,5.246788984939085,5.5251571607169945,4.5464928148711765
