,YAL007C,YBL039C,YBR011C,YBR072W,YBR084W,YCL037C,YDL100C,YDR019C,YDR032C,YDR064W,YDR155C,YDR158W,YDR321W,YDR533C,YFR030W,YGL026C,YGL031C,YGL157W,YHR174W,YIL022W,YIL155C,YJL066C,YJL130C,YJR070C,YKL112W,YLR292C,YLR355C,YLR438W,YML008C,YMR120C,YMR229C,YMR297W,YMR315W,YNL287W,YOR099W,YOR120W,YOR198C,YPL226W,YPL262W,YPR118W
WT,5.0034033606592105,5.785767255614778,8.863657539183123,8.40802583643486,5.620283332009939,5.205248305452251,5.677923997370307,7.0853113520803745,7.1319709433468566,8.642632672582714,7.940385995191293,8.103973911718924,5.679704414949763,6.238045589153396,6.16373677504038,6.8275364927515305,6.752560461004316,5.803705732373718,10.344485437658246,5.5135440000991265,5.0507034545559994,4.021186011562747,8.03404860867137,5.434948293498132,3.699614735697388,4.219860745824607,9.450131976308944,3.5511175828324006,6.553235436668864,7.974843521632295,4.796013127575742,5.667255728865165,3.5673282100344283,5.80269863489842,5.6637318097221705,5.055168137439661,6.707147570622517,6.473278508578818,7.025441000880322,4.510427747836003
YAL017W,5.155913816355762,5.724483121706276,8.873436803369467,8.308694653455083,5.626474887243092,5.6606263603624685,5.727942991190448,7.036922482773247,7.011984084108117,8.163425244279306,7.630946479930498,8.026715950051507,6.002863375926838,6.325006013929558,6.240273703444631,6.605310233884665,6.9115527200207,5.968656994156978,9.885147641840778,5.312121639386465,4.858673269751511,3.6464507992541706,7.836512668718492,5.228155606529703,3.650061598779572,4.2067832744091085,9.294169743155287,3.701737694675364,6.837955047309814,8.135725968732588,5.057550121722478,5.67295314303129,3.910539304101916,5.522321334582736,5.461585239362229,4.973550102342156,6.964034398851795,6.426875967016777,6.845798453494072,4.436561439361976
YAR018C,4.993235176709044,5.581593630433929,8.765293092341452,7.887011210638891,5.65166609060874,4.948927963476604,5.574508286837678,7.2009727154500505,6.713491351256779,7.936425132107044,7.775078988930668,7.95484899894427,5.754280068500727,6.387775619801793,6.673625162303816,7.073482178517865,6.514088081204384,5.8000422082351974,10.52176837023766,5.451910798588696,4.8609372589875965,3.3662799640133008,7.843205985362787,5.805263151779058,3.7832770462516967,3.588136253591654,9.140196685373342,4.075948825676039,6.7876591163693885,8.169251916108246,4.6166449835307155,5.557804651445973,4.155543367666797,5.651336284897284,5.447013107607853,4.982193878481938,6.9057501950430344,6.3048440447394025,7.137919873847261,4.594381645580155
YBL016W,4.663339986004169,5.898318178170309,8.713768222112144,8.337729582085922,5.5037050687679585,6.032079574436759,6.4034152491151,7.621362950447334,6.430852470864205,9.248350640028502,8.03151178506328,7.880253615084414,6.011813128358053,6.0106924280308505,5.756302946628847,6.031486770572567,6.724350445085803,6.194341644137551,10.998290656119213,5.946219711209409,4.245993776376508,4.431498820106507,6.718737220009718,5.401429981520171,4.5327140837972495,5.483633403884609,9.530802132535225,3.953631716271294,7.035505379542268,8.357458233433968,4.695753717134959,4.921846486340353,4.035389156378555,5.6979811187158935,5.244225285148441,4.8717371862192165,6.362461720953553,5.638995855006603,6.8973134809930885,5.291918347533008
YBL088C,4.984652636070747,5.454617071707312,8.59021188031656,7.913637517153528,5.297984246245077,5.764368448995447,6.187830628166482,7.280504456059033,6.7244261387736834,9.093853714210349,8.12097531647875,8.076028208512353,6.0590222479779445,5.888072679507212,5.516997142789321,6.182383758608098,6.293952691142027,5.689691134886713,10.674008619508207,5.080145163727225,4.657025261832576,4.472069514204351,6.7911879770180406,4.990178331816278,3.7511932590881822,5.082127150411755,9.437055236811004,4.014371289726571,6.693765477992648,8.093248266167503,4.021032340739988,5.459692310418329,4.774990672485653,5.553607888590304,5.4393609129562055,5.00046755507274,6.289620781384499,5.348218544223963,6.6751331841676835,4.581870779730644
YBR028C,4.81792839291979,6.175476404218036,8.559959703839075,6.841133563645589,5.511654916696243,4.95554134436062,5.707959054694737,7.080858513147383,6.151634622080025,9.422357259805592,7.588406749183714,8.015842743893824,6.114021809576918,5.628473870071791,6.375179981949311,6.995116581401918,6.5492067421979225,6.083249099559418,10.479216753786504,5.137602262776878,3.896885954837643,3.811580302668757,8.1246098034691,5.288032560094607,3.618979669756466,4.624775441691793,9.193757102613608,3.5983193888669374,6.5850529496990085,7.816781179418991,5.232292213149352,5.064381343852048,4.320076516587282,4.9489646667935085,5.585175875603649,5.154370329399606,6.467182845301758,6.281707273674643,6.718094085279598,4.941897955874093
YBR059C,5.18933975607766,5.495086692388909,9.707875255050137,9.093356994296107,5.302138620946799,6.145337133319519,6.41537303937945,7.428691759586402,7.800444421780728,7.998103958931296,8.862031259116014,8.024679020903925,6.375970342986431,6.793766511337871,5.9126208404023926,6.316720250037722,5.602116880808394,6.266388207599214,10.92125846568072,4.9586309215547635,3.9801896780991135,4.749073610798106,7.425218322724508,6.275558825842088,4.556595861864494,5.389249463573114,9.651211520208847,3.6970463562295164,6.32738174266103,8.30101826795199,4.7457817647978775,6.798821136055727,4.351535204151733,6.01131943837217,4.464709063394534,5.002921900377399,7.425571326487738,6.4767192858985885,7.71888303598941,4.826596758795885
YBR097W,4.871726779461422,5.80161638960005,8.720515395108869,7.643131546247172,5.466213369796168,5.428629824452404,5.739556105223687,7.198111559968963,6.636053686336311,8.452227864523746,8.30885720804076,8.307445228868103,5.9366482827101175,7.4361442073851025,6.252974904035544,6.585476833295129,7.008354627784553,6.4023182181218745,9.647116196722934,5.530057224259057,4.9886502935072885,4.665372582563848,7.821478387908675,5.535170662348255,3.824082268591355,4.771589714659993,9.038923903336824,4.059276192721934,6.7930794121274625,8.261093422940013,4.532104490094857,5.200623380145614,5.2310173541025415,5.717788867376348,5.896925065773795,5.1267433926513135,6.817867889989157,5.87339546749339,6.791571665112191,4.994001810394917
YBR274W,4.9543547591037145,5.9736614706311775,8.578680248337603,7.499504464718915,5.178543994342939,5.209906430265081,6.0448910142288685,7.2515932252548385,6.705154209088921,8.745037507476917,7.908799974939675,8.331057498233019,6.120900084629662,6.259067829650662,6.2190625912549296,6.696310597011774,7.115662124417684,6.074215252126676,10.255591643904962,5.358466137812926,4.42443749642606,4.540323260877286,8.023422921059543,4.902304785020359,2.734673210891976,5.094464989245823,9.4469562428295,2.8961651563987623,6.4833741297360215,7.476962014047898,4.92767382777618,4.212101292683004,4.085707613135206,4.867815983611157,5.70272547606554,5.386563392780753,6.7315270885296075,6.215594957715607,6.939156292076096,4.875792553494224
YCL024W,4.8836702501411695,5.357105898292713,8.726164637309282,8.300443361483534,5.262768670079113,5.494530428431486,5.611290664077057,7.1842207112857865,6.399491027326907,8.693680355331335,7.585152295383563,7.791586369427304,6.237885058783648,6.2764302569267985,5.932981729950237,6.277419799097188,6.721448919772925,5.938736122034374,10.67428194517851,4.934992219001594,4.124371372105958,4.393949593977529,6.612825192634249,5.5616495795654055,3.3245507513211896,4.310456622307696,9.371214629935688,3.904280086649568,7.099485113912122,7.854790232535044,4.173332252078725,5.449323603227483,4.801680302674015,5.844490772266733,5.466622177910587,5.28418107115125,7.189507832085322,5.468126430911199,6.931834042055402,4.684431543709722
