,YBR035C,YBR249C,YDL014W,YDR063W,YDR064W,YDR353W,YDR382W,YDR408C,YDR427W,YDR533C,YEL021W,YER012W,YER081W,YER091C,YGR175C,YIL022W,YIL125W,YIL155C,YJL001W,YJL012C,YJL066C,YJL217W,YJR109C,YKL067W,YLL050C,YLR044C,YLR180W,YLR438W,YMR120C,YMR297W,YNL112W,YNL134C,YNL209W,YNR021W,YOR007C,YOR184W,YOR198C,YOR259C,YOR374W,YPL262W
WT,3.6271751610501,7.527057595702999,6.175814584056914,5.187751380077305,8.642632672582714,7.165399391670788,8.483485689533996,3.3444893599173517,4.7490880325892375,6.238045589153396,5.606486453738034,5.954519135711561,6.735065176568866,9.689934818899252,5.724591608751174,5.5135440000991265,6.317771933145764,5.0507034545559994,6.255180081240161,4.839960166762384,4.021186011562747,5.638003261227246,7.035200062159108,7.724322182775878,8.41374671149037,10.049818435851346,7.8238625639411365,3.5511175828324006,7.974843521632295,5.667255728865165,5.501056215033718,5.33632431527157,8.41304474276772,5.313501100268859,6.6814345953927985,7.23438935586767,6.707147570622517,4.705099637193762,7.043595427852019,7.025441000880322
YAL017W,4.049298847273869,7.612781322647803,6.383709591448091,5.25176596879657,8.163425244279306,7.1221085184483774,8.613228510895237,3.1096336418826693,4.9820077129784055,6.325006013929558,5.171313527780984,6.049043384805263,7.1326704720205925,9.73992146430021,6.5782934234138475,5.312121639386465,6.22315527484553,4.858673269751511,6.177124833462592,5.263328097213866,3.6464507992541706,5.365537160427887,7.337518392284338,7.6301948097158965,8.320581849843379,9.855672248294953,7.843901850280732,3.701737694675364,8.135725968732588,5.67295314303129,5.667768092042056,6.038495135878438,8.385716269859687,4.897606355898125,6.5762320207392335,7.4483895820797725,6.964034398851795,4.80931985961397,6.841340872044702,6.845798453494072
YAR018C,4.01921298473056,7.577940808342443,6.774225201095443,5.112559447528307,7.936425132107044,7.514211985888555,8.729662300481738,3.675632256776833,5.169862749791198,6.387775619801793,5.126248665383455,6.1816184639893255,7.668121915240022,9.661842931339924,6.129298905648698,5.451910798588696,6.243603785408283,4.8609372589875965,6.48819197110902,5.2694033859726135,3.3662799640133008,5.771399270174687,7.600249202708973,7.7347445069656695,8.107678643197477,9.748832077234587,7.841167482709593,4.075948825676039,8.169251916108246,5.557804651445973,5.654733515043874,6.249799479205465,8.112990281305862,4.042899031668917,6.825333412679732,7.383764395511571,6.9057501950430344,5.387013091511709,6.387830732327856,7.137919873847261
YBL016W,2.9875260294829475,7.768715057435905,6.7078808481119925,5.101528820159077,9.248350640028502,7.747129471042157,8.713782133584349,4.803527797190932,5.023601709674834,6.0106924280308505,4.98995222288012,6.350080077900456,7.291181769784941,10.214284860645897,6.2996474298582985,5.946219711209409,5.976786589008031,4.245993776376508,6.893461888662503,4.0595947748767545,4.431498820106507,5.72899629752214,6.724968994082718,7.557683915204032,8.436590838427808,10.387230609838573,8.122101397716937,3.953631716271294,8.357458233433968,4.921846486340353,4.976619654431564,5.9609536518482455,8.894999771981656,5.477485470196685,6.5652297089499445,7.538895244977358,6.362461720953553,5.128873876633309,6.3065888332316735,6.8973134809930885
YBL088C,4.1883233469984615,7.417250411746572,6.806426795439121,4.873195276907628,9.093853714210349,7.145822500108,8.71249875117357,4.646888428468771,4.657968094607706,5.888072679507212,5.268641825555126,7.136911503673936,7.311931176344823,9.646675381635339,5.618449346701613,5.080145163727225,5.53191636388504,4.657025261832576,6.737012626605103,4.921113359372141,4.472069514204351,5.662404023583631,6.9198026056393775,7.208014897392541,8.607357056107215,10.345698164544286,8.028249208213905,4.014371289726571,8.093248266167503,5.459692310418329,5.497864912344363,5.458425882171736,8.308626471880993,3.6664405693508906,6.3827064092401145,7.423611270701762,6.289620781384499,5.2901721902175805,6.483607516684211,6.6751331841676835
YBR028C,3.202893122057209,7.464039432621738,5.52616828991328,4.8637953145033865,9.422357259805592,6.835691504903825,8.644575317445932,3.3382723895060846,4.582556436308106,5.628473870071791,5.028131537237943,5.9818950306319465,7.111410633099522,9.92187140570165,5.102746362620478,5.137602262776878,5.772181801509615,3.896885954837643,6.077817065875408,5.1094689744179504,3.811580302668757,5.93555049772316,7.095570535257101,7.043678975492576,8.173394714998329,10.377263319160168,7.911841438657597,3.5983193888669374,7.816781179418991,5.064381343852048,5.399400436650541,4.950474663967057,8.620744464183062,4.657222545611344,6.332427215658402,7.300308707380021,6.467182845301758,4.7623304343643795,6.215498891573267,6.718094085279598
YBR059C,3.850506325692463,7.929091735640322,6.314884981871399,5.13740674553995,7.998103958931296,7.85154786281021,9.421580479151206,4.4998643678086445,4.04711299704075,6.793766511337871,5.391910073436779,5.87228564087088,6.510382905920862,9.976430481233043,6.333966538366018,4.9586309215547635,5.233100314814748,3.9801896780991135,6.521820475234767,6.461701903198576,4.749073610798106,4.829714858431259,7.043084304870411,7.775938828014402,9.272367087486648,9.645061316190748,8.121436588811713,3.6970463562295164,8.30101826795199,6.798821136055727,6.055426611546317,6.01412298307536,8.411207417520561,4.022445963911307,8.039430013326905,7.9316080960687865,7.425571326487738,5.066238980738318,7.445270203825784,7.71888303598941
YBR097W,3.958476392949129,7.829333657674747,6.802217635488473,5.129708235100163,8.452227864523746,7.567981726351223,8.516641673964534,4.392940115836012,4.767175366326162,7.4361442073851025,5.506559073007881,6.035793959948281,6.938043793164434,9.65949592879845,5.167688312033913,5.530057224259057,6.2403558612370125,4.9886502935072885,6.5193327139262225,4.348913429463548,4.665372582563848,7.197455281535423,7.361169689977268,7.630389074042255,8.327172763712639,10.080337211888539,8.048705873754567,4.059276192721934,8.261093422940013,5.200623380145614,5.6169121798908614,5.858143725417987,8.115317276176537,3.8430822751075935,5.89364122450668,7.414469848486394,6.817867889989157,4.857299546404214,6.871326552860638,6.791571665112191
YBR274W,3.962915312969005,7.455800301452178,5.82190536105227,5.128203142979284,8.745037507476917,6.768697624851201,8.40729514469368,2.6620464965827377,4.645150202451499,6.259067829650662,4.8132191604313865,5.844312818822671,6.906426075699319,10.156573767983376,5.755999107399963,5.358466137812926,5.92108444764219,4.42443749642606,6.091295973220762,5.101533045573438,4.540323260877286,5.488411459359814,6.509237253501756,7.1699564939702976,8.190008948433348,10.526309332402064,7.376576532538153,2.8961651563987623,7.476962014047898,4.212101292683004,4.744681509171851,5.449941437864358,8.810873599918516,4.963675253392415,6.164177190027655,7.24311168103733,6.7315270885296075,4.666722147115385,6.8092860895249885,6.939156292076096
YCL024W,4.0403025419384,7.666521306988431,7.001337798121472,4.9831705661219345,8.693680355331335,7.338882037656585,8.71967644207848,4.704000908297847,4.867440555802432,6.2764302569267985,5.537106745286268,6.243220894261228,7.159491204765463,9.763538769459167,5.9933906157805374,4.934992219001594,5.60307093572426,4.124371372105958,6.496939062553301,5.495333913372432,4.393949593977529,5.611805025919415,7.1003692834011,7.354210020308644,8.39722973533892,10.088347489142148,7.981029675580545,3.904280086649568,7.854790232535044,5.449323603227483,5.790431610894839,6.090010374148336,8.07092337309425,4.00523140934806,6.284048255882207,7.528713781655794,7.189507832085322,5.167967081231293,6.1256551451282455,6.931834042055402
