,YBR126C,YCR005C,YDL055C,YDR002W,YDR304C,YDR382W,YDR427W,YDR533C,YEL071W,YFR010W,YGL255W,YGR175C,YGR205W,YHR174W,YIL133C,YJL012C,YKL013C,YKL145W,YKL181W,YLR133W,YLR216C,YLR292C,YLR351C,YML085C,YML092C,YMR031C,YMR131C,YMR215W,YMR307W,YNL209W,YNL216W,YNL255C,YNL312W,YOR204W,YOR259C,YOR362C,YPL262W,YPR024W,YPR036W,YPR069C
WT,7.6762227905353075,3.5992186427258397,8.457459098928034,6.403806241078997,5.455798959194598,8.483485689533996,4.7490880325892375,6.238045589153396,7.612091163604411,3.5627955957750617,5.162048615725939,5.724591608751174,4.695633869906873,10.344485437658246,7.720956073985139,4.839960166762384,5.121218188754623,6.009579128684599,3.0581024588501773,4.9751399658998325,5.198136300274184,4.219860745824607,6.010634600749055,6.51259115733196,5.39588568412441,5.308769052497121,3.9605790996985695,4.905400534492278,7.347466163756042,8.41304474276772,4.525974001731246,2.779836971429736,5.237147014523441,6.467069046320312,4.705099637193762,6.1122219228962456,7.025441000880322,4.727392071243589,6.652176373232023,7.524397410449597
YAL017W,7.367281620140308,4.216550794997918,8.41027747820805,6.270616501686794,5.726742344678504,8.613228510895237,4.9820077129784055,6.325006013929558,8.250296030045327,3.9259906645440616,5.445681416595202,6.5782934234138475,4.655479476205639,9.885147641840778,6.821897221354963,5.263328097213866,5.036397530742739,6.203818782397809,3.800976644914996,4.826410279580452,5.1314546165077015,4.2067832744091085,5.802554972588488,6.74918973536115,5.243204040541607,4.9241514736866705,3.9933601734663253,4.72935413508287,7.234619610924463,8.385716269859687,4.334409110022701,3.3933026738022583,5.1148246003759965,6.518973566481602,4.80931985961397,6.1533916562257005,6.845798453494072,4.809239051717387,6.472836383991102,7.336000185394955
YAR018C,6.8832327063240495,4.186689637650582,8.638083264316244,6.482458684486475,6.818217405645554,8.729662300481738,5.169862749791198,6.387775619801793,8.19812509301662,3.348401567005168,4.7329000467293065,6.129298905648698,4.345822081915334,10.52176837023766,7.121230577608325,5.2694033859726135,5.486339541407576,6.127594228994704,3.8480471067631314,4.395062081406636,4.996596906077194,3.588136253591654,5.961248132821691,6.990458550598383,5.456899296945279,4.750485514081864,4.328108914668314,4.2019902990038505,7.150139915966602,8.112990281305862,4.4326695569196515,4.053719830515212,5.33331924814407,6.267930525413005,5.387013091511709,5.457376562185925,7.137919873847261,4.833542382158153,6.5299166319180015,7.615441625407957
YBL016W,6.823975147756545,5.003441812151342,8.498873075356006,7.046474475162437,6.439415453433055,8.713782133584349,5.023601709674834,6.0106924280308505,8.128455896637407,5.6427951533949505,4.991371584163508,6.2996474298582985,4.37385008193834,10.998290656119213,6.026216763118915,4.0595947748767545,5.500218061491761,5.933776523724606,4.185053101804327,3.976834690808415,4.07832467428117,5.483633403884609,6.118737220250049,6.905188323497652,5.546932661724149,5.808422640967892,4.9998439437704345,3.437561880789941,7.179360019483111,8.894999771981656,5.0209196047509055,4.233975378078924,5.100963541034816,5.530121856080491,5.128873876633309,5.5429839427862415,6.8973134809930885,3.983791678735361,6.497148237582038,7.43623432224558
YBL088C,6.94691972865563,4.694188256719797,8.504974421879982,6.807838555371117,6.892807436346599,8.71249875117357,4.657968094607706,5.888072679507212,7.962552662041714,3.433500300694853,4.683169706549276,5.618449346701613,4.40703337043834,10.674008619508207,7.2810543522990026,4.921113359372141,5.245832047844399,6.031851374240112,4.129669217537235,4.546225068041188,4.361701334014276,5.082127150411755,6.075389491213247,6.93746123780108,5.8118234109699705,4.796843234727844,4.36142146397885,4.513735622562528,6.887599500068671,8.308626471880993,4.177134061819825,3.853150412026747,5.017645432917906,6.009101958346883,5.2901721902175805,5.432071214275708,6.6751331841676835,4.333469052379469,6.1953596544033065,7.658644351058261
YBR028C,6.707138160151468,3.736730669179688,8.24099564783445,6.115678400976777,4.2633063813336936,8.644575317445932,4.582556436308106,5.628473870071791,8.06569247472,3.3576320646245783,6.5221991751453565,5.102746362620478,4.631223120768999,10.479216753786504,8.315046292005881,5.1094689744179504,4.616176895166441,5.860913059895459,3.1656294469509314,4.352624271652041,4.759004259179753,4.624775441691793,5.9593828464377685,5.868683726471772,5.006911931998987,4.70872844377636,4.071807664162375,4.422945410419112,7.127487478865312,8.620744464183062,4.314317767930461,3.7374106480984186,5.045512484388668,6.6118187551867535,4.7623304343643795,5.600853634915318,6.718094085279598,4.425550832306778,6.560556486516041,7.263951282556086
YBR059C,6.700506184012537,3.882693606917328,8.370564762994153,6.595470908812838,7.1861783794049465,9.421580479151206,4.04711299704075,6.793766511337871,7.909649082056206,2.4479252777524194,5.103566704451317,6.333966538366018,5.399061306474026,10.92125846568072,5.645277203222892,6.461701903198576,4.486953591196368,6.813008849960602,2.5950220982764094,4.983148642023647,6.270615038953324,5.389249463573114,6.501688187650973,7.372450412747213,5.763849541690856,5.591221683403739,4.417161660184147,6.0591951157256725,8.283084243186375,8.411207417520561,4.391014240573268,3.486487579763696,5.565071442997712,6.542014546362102,5.066238980738318,5.942804032709082,7.71888303598941,3.8990405712549774,6.839804174135533,7.769215568960695
YBR097W,7.2177388231885065,3.893418574162304,8.424527417077062,6.362441611981366,6.3898237296290885,8.516641673964534,4.767175366326162,7.4361442073851025,7.6898030832840885,3.6383611029754332,5.357868315922231,5.167688312033913,4.5060457838372034,9.647116196722934,7.487408582850497,4.348913429463548,5.232978520320861,5.727749393906438,3.5899041609403044,4.665546148516887,4.8072508147489685,4.771589714659993,6.169970276857409,7.109617421833821,5.4879657888351705,5.182823885799778,4.424904009117187,4.416166357091574,7.6167312060290895,8.115317276176537,4.4088868046557055,3.4322644856520306,4.821225039046891,6.799058458061754,4.857299546404214,5.371083835761956,6.791571665112191,4.60947385793996,6.477801498038338,7.535466953077332
YBR274W,7.085357580361102,3.782312671929053,8.54553288507549,5.886420620839553,4.662474529378444,8.40729514469368,4.645150202451499,6.259067829650662,8.107510308505262,4.007945399363823,5.374709629691537,5.755999107399963,4.423322418819433,10.255591643904962,7.7550667580253485,5.101533045573438,4.195099879818804,5.934697013191755,2.509227543343587,4.262244020387898,4.949954852448232,5.094464989245823,6.155617451658355,6.254937097897469,4.848857775685623,5.49270681439726,4.089416466019614,4.595021810721377,7.462734787399218,8.810873599918516,4.691026879403736,4.0212976234931235,5.463034794943444,7.0189873244080445,4.666722147115385,5.3971098313878665,6.939156292076096,4.7098897468695,6.314571530245024,7.0344376426060204
YCL024W,6.585195971034996,4.507580427507955,8.38421628915645,6.65459261901415,6.762199328461909,8.71967644207848,4.867440555802432,6.2764302569267985,8.471631257084635,3.6957901655846177,4.486312818038543,5.9933906157805374,4.975678872238129,10.67428194517851,7.361763052836577,5.495333913372432,5.1972177381453015,6.288383199648597,3.653518512908069,4.209396591570502,4.700390586662558,4.310456622307696,6.161108698387013,7.019380925232874,5.5215580654591445,4.955538712018599,4.346779178223924,4.360458540921529,6.974312867338103,8.07092337309425,4.606785524828135,4.117835722111548,4.894885481973244,6.5274137763282765,5.167967081231293,5.358242649920216,6.931834042055402,4.3194979518219485,6.316005100814867,7.567729487073008
YCR073C,7.4042699116783695,3.925408365548032,8.400191657689453,6.216157281983775,4.297495409297387,8.55656010599876,4.723088338068764,6.399136291890256,7.972905447730124,4.667712614029071,4.581323890593581,5.462967289948352,4.633324238601707,10.474274509265047,8.062574506377269,5.392874622896347,5.078839002202179,6.421085411568054,1.5381277507170386,5.210625615643256,5.206676409374512,5.399198614194572,5.941128032432735,6.2528248819816685,5.258473540910186,5.280975566440828,3.5158586048341243,4.665039865401647,7.273447808113763,8.479402735584532,4.819363304818541,3.074920929307452,5.573990963231656,6.7239402157905594,4.758403828089034,6.253937124130024,6.991802879458172,4.635372042811529,6.731223735974766,7.557234698485822
YDL025C,7.037336446053496,3.667622120091254,8.466133715633381,5.559037186309407,4.7685744582209155,8.646787996661718,4.371489314250084,5.905221896198411,7.951897423630787,3.8178352211382207,6.432957263390263,5.680988660089893,3.950634247786013,10.321169372806043,8.012642232306018,5.5086760956570116,4.5529573622156105,5.903321503966584,2.3116877994070077,4.498815093473475,4.834007377026109,5.129130926542791,6.186219990551651,5.9934376869212524,4.878375313268407,5.1162652587054485,4.124443734774414,4.540386768526977,7.530639077134258,8.759017814382991,4.649524265809536,3.9481729020494662,5.410653989088456,6.73512702988325,3.4675946832814164,5.2405885141804935,6.866262103195669,4.781394261103934,6.439791932590161,7.093451661966473
